time,mCS_cp_xx,mCS_cpvp_xx,mCS_vp_xx,mEE_cp_xx,mEE_cpvp_xx,mEE_vp_xx,mTE_cp_xx,mTE_cpvp_xx,mTE_vp_xx
0,0,0,0,0,0,0,0,0,0
267.81,355.71439337066,356.64206459859,358.03357126676,0.0017091938076044,0.00169026220618,0.0016618648075888,0.0042990570086755,0.0069251329338562,0.01086424632985
365.02,364.92102616019,366.33367976256,368.45265990157,0.0017553920272886,0.0017362002581785,0.0017074126081074,0.0055429472965175,0.0094225467106793,0.015241945105401
598.99,384.87217088025,387.47836423931,391.38765378984,0.0018527910594462,0.0018364222665522,0.0018118690802766,0.008658794096785,0.015398791733207,0.025508786925662
835.2,403.63495938044,407.47558043892,413.23651130742,0.0019434611165663,0.0019312028081481,0.0019128153478165,0.011961844037601,0.021387624776807,0.03552629412048
1083.7,422.27560908762,427.4396593278,435.18573372101,0.002033274720875,0.0020258250373776,0.0020146505135267,0.015577669181705,0.027642325606591,0.045739307984608
1259.7,435.03252584354,441.150945624,450.32857414891,0.0020946730027687,0.0020908109470511,0.0020850178641979,0.018207656279878,0.032046122301131,0.052803818741524
1524.3,453.56451157602,461.13776167415,472.49763540314,0.0021838030797913,0.0021855400513156,0.0021881455082767,0.022255377788813,0.038624826141592,0.063178995605304
1845.1,475.05167733793,484.40614271703,498.43783903389,0.0022870497335082,0.0022958224531546,0.0023089815309815,0.027301025329168,0.04653068261689,0.075375164947395
2172.9,496.16147450682,507.37251672322,524.18907794837,0.0023883739548427,0.0024046735049588,0.0024291228270805,0.032547558817194,0.054532902602667,0.087510914163748
2490,515.67503219495,528.72062605314,548.28901439743,0.0024820045104435,0.0025058546454595,0.0025416298435171,0.037673889377842,0.062206489470317,0.099005385014885
