Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
888.53,2.7009,187.86,1.8869,0.0,0.0
909.52,2.7201,188.73,1.8642,0.0,0.0
915.01,2.7274,190.16,1.9069,0.0,0.0
924.03,2.7057,188.51,1.9029,0.0,0.0
921.23,2.7343,188.9,1.8938,0.0,0.0
910.77,2.77,186.9,1.863,0.0,0.0
907.46,2.712,185.95,1.8756,0.0,0.0
915.83,2.7127,188.68,1.8702,0.0,0.0
921.26,2.7152,193.11,1.9012,0.0,0.0
1271.9,3.7229,194.22,1.7418,0.0,0.0
