Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
699.26,0.36521,120.81,19.809,0.055755,0.33209,0.12982,0.070141,0.084766,0.062117,0.7346840459894145
700.62,0.36492,120.99,19.696,0.055755,0.33294,0.12976,0.070122,0.084782,0.062125,0.7354843356704464
702.91,0.36487,119.97,19.995,0.055752,0.33295,0.12991,0.070235,0.084699,0.062084,0.7356323228384954
702.04,0.36382,120.93,19.809,0.055757,0.33306,0.1298,0.070138,0.084767,0.062114,0.7356392520650512
705.58,0.36184,120.8,19.972,0.055759,0.33417,0.12985,0.070169,0.084741,0.062094,0.7367820708253414
699.2,0.36516,120.92,19.949,0.055758,0.33445,0.12987,0.070153,0.084748,0.062104,0.7370766025862951
700.53,0.36362,120.92,19.987,0.055758,0.33455,0.12987,0.070151,0.08475,0.062103,0.7371812696235914
700.58,0.36455,120.99,19.995,0.055759,0.33554,0.12988,0.070159,0.084741,0.062097,0.738176013497827
702.7,0.36218,121.16,19.999,0.055761,0.33557,0.12986,0.070138,0.084757,0.062101,0.7381809462185952
697.16,0.36465,121.29,19.902,0.055758,0.33572,0.12983,0.070106,0.084781,0.06212,0.7383126236556176
