iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,910.7981660366103,2.729338042036617,189.0184348029363,1.8858750353970875,1.1050093569003003,nan,nan
2,1376.6960118326238,0.03675473183078426,354.889243619851,16.950920501419127,0.44511569487169456,nan,nan
3,3933.3431422937438,5.9221984479764505,53.141372533191806,13.837226461354382,0.8236226974710464,nan,nan
4,221.96186181559912,2.2394726867186936,263.57226750129604,19.6023203840313,0.29725687763917186,nan,nan
5,2850.193196432927,9.99413472382887,437.427919673209,3.5994214607635953,1.2643854754903878,nan,nan
6,2031.1010864360935,6.967057211861443,444.6817027655617,7.441672985792682,1.1196092565732196,nan,nan
7,3420.8145709710757,4.699405100029534,140.02892975685526,10.097216612869309,5.625177619269847,nan,nan
8,1638.612247807128,7.7973654080942545,72.244798321204,10.976120381372345,8.521300571938967,nan,nan
9,905.19,2.7489,190.08,1.8804,1.1000392595983228,nan,nan
10,910.09,2.7018,189.73,1.8593,1.0855432142532198,nan,nan
11,921.33,2.7464,188.04,1.8859,1.1139128680459915,nan,nan
12,909.29,2.7313,191.3,1.8865,1.084462046168419,nan,nan
13,917.22,2.7577,187.36,1.8737,1.121551239579253,nan,nan
14,921.06,2.7815,189.36,1.8802,1.107450263217634,nan,nan
15,906.44,2.7666,189.7,1.8947,1.1106329340003367,nan,nan
16,908.52,2.7328,190.63,1.8943,1.093426996459157,nan,nan
17,933.95,2.7145,192.24,1.9024,1.0657346968342127,nan,nan
18,915.08,2.7265,189.9,1.9135,1.100882423259176,nan,nan
19,903.18,2.7859,187.68,1.8691,1.1291763476192302,nan,nan
20,896.81,2.7733,189.43,1.9195,1.123025177028726,nan,nan
21,915.08,2.7059,186.17,1.8741,1.1226146987518928,nan,nan
22,916.29,2.7635,186.24,1.8981,1.140548610924916,nan,nan
23,911.42,2.7621,184.72,1.8843,1.153761187225609,nan,nan
24,903.77,2.7256,186.06,1.8829,1.1350783450266697,nan,nan
25,923.03,2.7104,186.1,1.9059,1.1292806087571412,nan,nan
26,910.63,2.7765,186.02,1.8587,1.1375913723379985,nan,nan
27,906.2,2.7236,189.25,1.8873,1.1037824209379659,nan,nan
28,900.19,2.7161,187.43,1.8713,1.1180271035769975,nan,nan
29,917.5,2.7002,189.85,1.9149,1.0949680338471581,nan,nan
30,914.6,2.7068,190.32,1.8968,1.0887666615925387,nan,nan
31,910.29,2.7428,189.96,1.8705,1.0951940403792921,nan,nan
32,893.02,2.7025,191.75,1.8743,1.0775407619629127,nan,nan
33,918.28,2.7412,189.83,1.8607,1.0902556766508362,nan,nan
