Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
734.63,0.34792,121.67,19.983,0.055701,0.2104,0.1299,0.070375,0.084579,0.062127,0.6130756358703111
734.63,0.3447,122.41,19.982,0.055707,0.21092,0.12981,0.070274,0.08465,0.062132,0.6134963459446757
732.29,0.34749,121.72,19.991,0.055697,0.21115,0.12987,0.070346,0.0846,0.062133,0.6137965124795394
734.63,0.34811,121.17,19.955,0.055694,0.21123,0.12992,0.070418,0.084554,0.062138,0.6139481491968326
734.31,0.34661,121.52,19.984,0.055697,0.21138,0.12988,0.070369,0.084588,0.062136,0.6140490471579028
725.0,0.35218,121.64,19.988,0.055689,0.21306,0.12987,0.070343,0.084591,0.062132,0.6156826912675872
733.44,0.34656,122.56,19.983,0.055709,0.2136,0.12982,0.070274,0.084644,0.062125,0.6161710595032345
729.87,0.35349,120.74,19.968,0.055687,0.21374,0.12998,0.070473,0.084509,0.062127,0.6165149327643399
734.82,0.34566,121.54,19.767,0.055698,0.21431,0.12982,0.070348,0.084608,0.062179,0.616970703589469
724.99,0.35374,121.73,19.984,0.055692,0.21463,0.12989,0.070354,0.084579,0.062124,0.617262120697281
