Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1552.5,0.33495,197.16,1.5047,0.18894,0.12236,0.53831,0.17111,0.25515,0.18744,0.2004,0.10417,0.12613,1.8940098097234908
1530.2,0.33492,199.68,1.5106,0.18885,0.1222,0.55018,0.17104,0.2552,0.1873,0.20004,0.10434,0.12607,1.9052250075052242
1533.4,0.33582,197.7,1.5053,0.18894,0.12233,0.55353,0.17113,0.25517,0.18741,0.2003,0.10425,0.12611,1.9091633655015545
1565.9,0.34075,193.78,1.5029,0.18894,0.12239,0.55641,0.17106,0.25508,0.1875,0.20065,0.10423,0.12613,1.912397119566412
1565.6,0.34065,193.76,1.5024,0.18895,0.12241,0.55658,0.17107,0.25508,0.18751,0.20066,0.10425,0.12613,1.912647509062814
1567.8,0.34083,193.72,1.5022,0.18895,0.12241,0.56081,0.17107,0.25507,0.18752,0.20067,0.10425,0.12613,1.9168954283200992
1552.5,0.34275,194.85,1.4973,0.1891,0.12251,0.56105,0.17119,0.25505,0.18762,0.20072,0.10454,0.12616,1.917944905500887
1561.8,0.33896,192.37,1.5213,0.18848,0.12194,0.56476,0.17059,0.25515,0.18704,0.20038,0.10442,0.12595,1.9186978179883187
1567.7,0.34082,191.35,1.5145,0.18861,0.1221,0.56482,0.17072,0.25512,0.18719,0.20017,0.10411,0.12602,1.91885691179543
1566.0,0.34085,193.82,1.4976,0.18907,0.1225,0.5631,0.17116,0.25505,0.18762,0.20073,0.10453,0.12616,1.9199081623227268
