Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
377.5,0.82313,103.94,3.5177,0.058977,0.13982,0.054628,0.12023,0.3433,0.071978,0.7889305370468181
379.23,0.79936,110.62,3.3597,0.06023,0.14092,0.055266,0.12329,0.33754,0.072739,0.7899801894563546
370.04,0.83532,109.14,3.3784,0.0601,0.14066,0.055232,0.12304,0.34056,0.072672,0.7922577876380411
366.88,0.79532,113.1,3.3564,0.060269,0.14088,0.055357,0.12348,0.3435,0.072831,0.7963248320345797
381.56,0.86943,101.79,3.4549,0.059468,0.14014,0.054817,0.12141,0.34843,0.072195,0.796461114669514
381.57,0.86934,101.79,3.4564,0.059457,0.14013,0.054812,0.12138,0.34861,0.072189,0.7965744455314641
373.66,0.83655,108.38,3.3589,0.060255,0.14081,0.055295,0.12337,0.34619,0.07274,0.7986575770085029
370.53,0.83923,109.14,3.3896,0.060017,0.14056,0.055189,0.12284,0.34813,0.072619,0.7993547189540133
381.95,0.824,101.82,3.4774,0.059248,0.14014,0.054699,0.12088,0.3534,0.072093,0.800455138496286
391.12,0.80427,106.17,3.4734,0.059327,0.14019,0.054741,0.121,0.35446,0.072129,0.8018399997556835
