Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
338.85,0.99738,74.588,17.334,0.12916,0.11254,0.1732,0.2277,0.035155,0.038474,0.11488,0.051549,0.14718,1.0298383988986244
339.25,1.0614,74.605,17.334,0.12927,0.11255,0.17494,0.22778,0.035033,0.038592,0.11493,0.051625,0.14735,1.0320820556805739
340.62,0.99505,75.149,16.998,0.12916,0.11241,0.17754,0.22753,0.035205,0.038467,0.1146,0.051574,0.147,1.0334917589444412
344.89,0.97667,73.932,17.005,0.1291,0.11242,0.1795,0.22753,0.035374,0.03879,0.11466,0.051548,0.14727,1.0361994958680654
340.24,1.0873,74.29,17.654,0.12932,0.11266,0.19067,0.22795,0.034964,0.038725,0.11521,0.051634,0.14765,1.048780550069177
346.31,0.91924,72.873,17.091,0.12899,0.11246,0.19614,0.22751,0.035562,0.038904,0.11475,0.051469,0.14735,1.0531327796688668
337.42,1.0031,74.792,17.745,0.12919,0.11268,0.1993,0.22788,0.035031,0.038394,0.11519,0.051539,0.14732,1.0565173389959621
341.24,0.92014,72.926,16.092,0.12904,0.11217,0.21615,0.2271,0.035693,0.038651,0.11406,0.051545,0.1466,1.0710004674344846
339.37,1.0025,74.151,18.041,0.12918,0.11277,0.21859,0.22801,0.035054,0.038575,0.11542,0.051517,0.14764,1.0767639491799135
338.55,1.1799,73.761,17.345,0.12946,0.11259,0.22209,0.22795,0.03489,0.03885,0.11507,0.051733,0.14768,1.080308124399325
