Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
94.639,0.59207,90.805,3.8802,0.81461,0.12684,0.05785,0.067548,0.15393,0.069215,1.2899877408005864
198.66,0.31952,71.648,2.3491,0.77213,0.13252,0.05755,0.071673,0.215,0.10431,1.353174625289374
164.1,0.10863,67.124,2.2549,0.80698,0.13084,0.05705,0.071532,0.23415,0.11361,1.4141632130367956
168.22,0.12417,66.27,2.2909,0.82033,0.13106,0.057109,0.07134,0.2315,0.11243,1.4237688969520168
30.123,0.0066914,8.6889,16.781,0.83951,0.12575,0.056761,0.061028,0.23027,0.11402,1.4273333434771454
272.58,3.1707,11.57,10.183,0.89774,0.12201,0.057959,0.062546,0.2019,0.1023,1.4444548926605976
190.06,0.19737,60.761,2.5729,0.8747,0.13116,0.057131,0.069965,0.22043,0.10704,1.4604200493132171
275.25,0.21001,46.93,2.0033,0.83713,0.13107,0.056018,0.072095,0.24695,0.12164,1.4649074369700867
268.13,0.21128,50.501,2.105,0.84359,0.13168,0.056483,0.071882,0.24255,0.11974,1.4659139871416387
454.51,1.4886,2.5064,19.55,0.80537,0.12286,0.05832,0.062091,0.2743,0.14438,1.4673274814294117
