Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1992.9,0.18238,138.03,6.2931,0.12874,0.10359,0.06177,0.033923,0.11591,0.50937,0.13154,0.22066,0.049045,1.3545528479501112
1993.2,0.18186,137.59,6.2949,0.12877,0.10358,0.061728,0.033897,0.11591,0.5099,0.13154,0.22067,0.049068,1.3550603916522395
1995.4,0.18033,136.21,6.4007,0.12919,0.10371,0.060942,0.033396,0.11587,0.51212,0.13148,0.22079,0.049368,1.3568701395823892
1995.8,0.18109,135.84,6.3635,0.12907,0.10365,0.061179,0.03355,0.11588,0.51469,0.1315,0.22075,0.049266,1.359535626870886
1991.6,0.18369,138.17,6.2955,0.12875,0.10362,0.061773,0.03393,0.1159,0.51593,0.13155,0.22064,0.04901,1.3611087415272403
1975.9,0.18442,137.98,6.2967,0.12893,0.10371,0.061679,0.033902,0.11577,0.51907,0.13162,0.22065,0.048946,1.3642729477644149
1987.8,0.17907,138.3,6.4506,0.12937,0.10385,0.060678,0.033223,0.11582,0.5284,0.13149,0.22084,0.04948,1.3731513018929633
1987.8,0.17729,137.8,6.4633,0.12944,0.10384,0.060536,0.033142,0.11582,0.5306,0.13148,0.22088,0.049571,1.3753041916329107
1977.1,0.18286,135.43,6.4578,0.12961,0.10391,0.060464,0.033153,0.11568,0.53096,0.13156,0.22083,0.049375,1.3755356906103333
1992.9,0.17636,138.02,6.4433,0.12931,0.10377,0.060692,0.033222,0.11587,0.53408,0.13146,0.22087,0.049566,1.3788452729141811
