Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
333.82,0.065701,74.807,10.409,0.13115,0.11053,0.26675,0.22311,0.039124,0.036227,0.10915,0.05144,0.14024,1.107716130057589
333.82,0.067162,74.826,10.42,0.13116,0.11052,0.26697,0.22313,0.03908,0.036274,0.10915,0.051459,0.14028,1.108016516721935
333.91,0.067101,74.817,10.331,0.13121,0.11051,0.2674,0.22304,0.03925,0.036152,0.10907,0.051416,0.14012,1.1081723167832729
333.64,0.06563,74.796,10.411,0.13115,0.11053,0.26725,0.22311,0.039119,0.036229,0.10915,0.05144,0.14024,1.1082186950732973
333.67,0.066299,74.855,10.35,0.13119,0.11052,0.2676,0.22305,0.039222,0.036153,0.10909,0.051419,0.14014,1.1083791565539869
333.74,0.067696,74.706,10.366,0.13119,0.11051,0.26753,0.22308,0.03918,0.036225,0.1091,0.051435,0.1402,1.108456567712306
333.64,0.066371,74.885,10.333,0.1312,0.11051,0.26793,0.22304,0.03925,0.036129,0.10907,0.051414,0.14011,1.108657260898082
333.45,0.067632,74.76,10.366,0.13119,0.11051,0.26821,0.22308,0.039172,0.036216,0.1091,0.051437,0.1402,1.1091124423562628
333.62,0.065674,74.972,10.339,0.13119,0.11052,0.2686,0.22304,0.039244,0.03611,0.10908,0.051413,0.1401,1.1092961116709392
334.03,0.065854,74.803,10.235,0.13126,0.11051,0.26934,0.22294,0.039455,0.035994,0.10899,0.051362,0.13993,1.1097707998348716
