param_type,param_name,in_l_bound,out_l_bound,base,out_u_bound,in_u_bound
input,cp_tau_s,1.925523513589398,0,10,1,3.2223262109908113
input,cp_b,0.15812115033749494,0,10,1,1.2695596400388207
input,cp_tau_0,1.8784758359814109,0,10,1,2.6962078118889146
input,cp_n,0.7441990714600973,0,10,1,1.2172206556445186
input,average_strain,-2.076838909474215,0,10,1,-0.5457498446996553
output,average_stress,2.417587932383191,0,10,1,3.6721810127474708
output,g59_phi_1,0.22693484001260017,0,10,1,0.28280331429172834
output,g59_Phi,0.34851903620714625,0,10,1,0.36453223492795966
output,g59_phi_2,0.6328013519549085,0,10,1,0.651278013998144
output,g63_phi_1,0.28593967981178664,0,10,1,0.318501584158787
output,g63_Phi,0.4479947926537286,0,10,1,0.4866288062462957
output,g63_phi_2,0.5842294246682164,0,10,1,0.605024765730024
output,g86_phi_1,0.3126004392612593,0,10,1,0.32660209196364864
output,g86_Phi,0.2532410537726502,0,10,1,0.2853547410303701
output,g86_phi_2,0.5569414085627211,0,10,1,0.5728483772756421
output,g237_phi_1,0.33497619865434175,0,10,1,0.33725953975027567
output,g237_Phi,0.339848783037637,0,10,1,0.36346154882659343
output,g237_phi_2,0.6129956560323475,0,10,1,0.6229907048100862
output,g303_phi_1,0.4033264618175825,0,10,1,0.4173886461656744
output,g303_Phi,0.3009214084695404,0,10,1,0.3222399749311519
output,g303_phi_2,0.6502783748731312,0,10,1,0.6674996487108583
