Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1553.5,0.34163,200.42,1.5134,0.18848,0.12198,0.48684,0.17077,0.25518,0.18713,0.20084,0.10531,0.1261,1.8426232316784639
1553.3,0.34163,200.08,1.5133,0.18848,0.12198,0.48689,0.17077,0.25518,0.18713,0.20084,0.10532,0.1261,1.8426903022142285
1532.5,0.35083,199.98,1.5205,0.18832,0.12177,0.48846,0.17055,0.25516,0.18694,0.20056,0.10553,0.12602,1.8433193908646588
1552.7,0.34307,199.82,1.508,0.18859,0.12208,0.48832,0.1709,0.25517,0.18725,0.20087,0.10532,0.12614,1.844650190315694
1561.7,0.33854,200.01,1.5134,0.18848,0.122,0.4925,0.17079,0.25518,0.18713,0.20086,0.10532,0.12611,1.8483678262197811
1554.4,0.34025,200.42,1.5076,0.1886,0.1221,0.49262,0.17094,0.25518,0.18727,0.20089,0.10529,0.12615,1.8490369583521489
1556.5,0.33917,200.4,1.5089,0.18858,0.12208,0.49296,0.17091,0.25518,0.18724,0.20089,0.10531,0.12614,1.8492868239115077
1556.8,0.34225,199.88,1.5164,0.18841,0.12192,0.49646,0.17068,0.25517,0.18705,0.2008,0.10534,0.12608,1.8518960397226014
1560.1,0.3415,198.88,1.5142,0.18846,0.12197,0.49624,0.17073,0.25516,0.18711,0.20083,0.10536,0.12609,1.8519554978848118
1559.2,0.33762,199.84,1.5122,0.18851,0.12202,0.49593,0.17082,0.25519,0.18716,0.20087,0.10534,0.12611,1.8519564788058167
