iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,561.4814400446614,778.71286389252,273.3131752084473,1.3611236645203497,0.804409971246063,0.11890577862098828,0.8422588561055048
2,346.83677342188275,437.91702395054403,3.1920946706763957,11.032702092837607,0.4524065320121249,0.09363820487385083,0.4822124983479748
3,923.5176935883654,685.5241604095293,88.87866534646567,17.866914222506082,1.1082313458370745,0.22786002270091593,1.180761443728839
4,16.46461355861993,553.994564412283,435.8207792626204,13.611271386870799,2.0493958641898002,0.10056666312340631,2.0814072272824955
5,873.392962589271,997.250007737382,171.57419810561126,8.813345374195976,1.5807742259674387,0.0928762807155337,1.610337664311174
6,239.99515663263705,360.5419232125422,373.7472933686281,15.77676416530577,2.1508870927676784,0.1274055878621312,2.191441550939252
7,651.9041390450881,233.2609624175138,242.94077166203763,7.394335534205603,1.6338771426713654,0.09161151932043886,1.6630379949593785
8,405.09719886670126,74.92858424010132,474.7715830881047,3.99820874983784,2.676126186172427,0.09576155556265048,2.706608036024357
9,8.4454,23.449,24.755,3.2539,0.8766351231807452,0.09905277465263329,0.9081646006066135
10,48.707,362.9,39.062,19.459,0.6083737902501194,0.10451643140609768,0.6416424036353303
11,157.55,378.59,53.641,8.2668,0.359151064796868,0.09419363240084103,0.3891338292056175
12,236.62,221.56,74.719,9.7971,0.11445970377065288,0.09235935217770327,0.14385859865034625
13,306.28,223.13,72.166,10.678,0.03218675287652409,0.09216197113546232,0.0615228194191269
14,313.11,235.98,73.09,10.156,0.022572955624235794,0.09210531704149585,0.05189098860863629
15,308.61,229.68,74.236,10.162,0.01823434234621645,0.09207425164005442,0.04754248690621987
16,303.04,195.29,73.032,9.7162,0.03546548562858469,0.09205378824094868,0.06476711648634784
17,293.57,226.13,74.814,9.7209,0.02964861823770534,0.09207866366314098,0.05895816718827529
18,305.95,233.66,74.738,10.13,0.016699428378782844,0.09206982376523916,0.046006163502457786
19,299.47,230.86,76.793,9.7407,0.01030268725588221,0.09203544565781521,0.03959847948809583
