Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
305.95,233.66,74.738,10.13,0.049231,0.13962,0.11097,0.107,0.3214,0.04259,0.13415,0.028788,0.22172,1.1554534967521004
305.94,233.66,74.576,10.223,0.049233,0.13975,0.11099,0.10708,0.32152,0.042322,0.1342,0.028778,0.2218,1.1556671310726387
305.7,233.05,74.876,10.191,0.04926,0.13965,0.11099,0.10705,0.32179,0.042399,0.13416,0.028794,0.22177,1.1558616029335937
305.79,229.74,74.823,10.242,0.049231,0.13968,0.11099,0.10708,0.32247,0.042177,0.13414,0.028821,0.22183,1.156421607862858
305.79,229.16,74.815,10.253,0.049229,0.13969,0.11099,0.10708,0.32262,0.042133,0.13414,0.028826,0.22184,1.1565566252474184
305.89,233.25,75.068,10.006,0.049237,0.13942,0.11095,0.10688,0.32278,0.042947,0.13407,0.028813,0.2216,1.156701848544624
305.87,229.46,74.698,10.285,0.049224,0.13975,0.111,0.10711,0.32279,0.042049,0.13416,0.028819,0.22187,1.1567863079623413
305.63,236.31,75.084,9.8622,0.049248,0.13927,0.11092,0.10677,0.32306,0.043465,0.13405,0.028804,0.22145,1.1570472605340316
303.49,233.15,75.199,10.213,0.049379,0.13955,0.111,0.10709,0.32315,0.042344,0.13415,0.028811,0.2218,1.1572642877790633
305.65,236.29,75.157,9.8747,0.049256,0.13927,0.11093,0.10678,0.32335,0.043425,0.13405,0.028804,0.22147,1.157331452654117
