Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1627.8,0.33469,203.91,1.5265,0.18836,0.12204,0.49055,0.17051,0.25524,0.18682,0.20113,0.10693,0.12613,1.8477125336225382
1628.9,0.33562,204.13,1.5276,0.18834,0.12201,0.49377,0.17048,0.25524,0.18679,0.20109,0.1071,0.12612,1.8509409105222143
1628.9,0.33564,204.15,1.5289,0.18831,0.12199,0.49729,0.17045,0.25524,0.18676,0.20104,0.10729,0.12611,1.854462525928482
1625.2,0.33761,204.08,1.5177,0.18856,0.1222,0.50411,0.17072,0.25523,0.18706,0.20126,0.1065,0.1262,1.8618351532057325
1624.9,0.33783,204.21,1.5178,0.18856,0.1222,0.50584,0.17072,0.25523,0.18706,0.20126,0.10651,0.1262,1.863560572447133
1628.4,0.33758,204.25,1.5312,0.18826,0.12193,0.5082,0.17037,0.25523,0.1867,0.20091,0.10768,0.12609,1.8653616062507885
1626.3,0.33325,205.49,1.5139,0.18868,0.12231,0.50941,0.17087,0.25526,0.18717,0.20125,0.10626,0.12625,1.8674589501543877
1647.4,0.33538,204.07,1.5244,0.18841,0.12209,0.51156,0.17054,0.25522,0.1869,0.20126,0.10673,0.12616,1.8688741223103982
1628.9,0.33438,203.94,1.5125,0.1887,0.12233,0.51182,0.17088,0.25525,0.18723,0.20127,0.10616,0.12625,1.8698909506911707
1651.3,0.33447,204.11,1.5228,0.18845,0.12212,0.51315,0.17058,0.25523,0.18695,0.20128,0.10665,0.12617,1.8705817176100301
