Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
2626.4,4.5731,453.92,2.8706,0.16663,0.071369,0.10771,0.16383,0.2014,0.11098,1.5884,0.15981,0.08139,2.651488110013675
2603.5,4.5786,437.04,2.5194,0.16452,0.072375,0.10777,0.16354,0.1987,0.10982,1.6083,0.15415,0.081865,2.661049854006739
2699.1,6.8927,499.34,2.8713,0.16632,0.073898,0.10885,0.16341,0.19896,0.10846,1.6623,0.15137,0.081894,2.7154960148090432
2696.1,6.8928,491.11,2.7374,0.16571,0.07439,0.1089,0.16334,0.19861,0.10775,1.7797,0.14836,0.082175,2.8289111455579574
2655.0,7.5423,466.23,2.022,0.15982,0.076985,0.10925,0.16284,0.1989,0.10549,1.8033,0.13945,0.083285,2.8393534436731733
966.1,9.5117,117.58,1.0608,0.13287,0.093986,0.09823,0.18773,0.72698,0.16561,1.0139,0.35381,0.069182,2.842296252682427
2618.7,7.5423,466.23,2.022,0.15977,0.076819,0.10917,0.16281,0.19896,0.10572,1.8135,0.14033,0.083261,2.8503711781463017
2776.2,6.8871,498.5,2.2513,0.16311,0.076889,0.10983,0.1627,0.19866,0.10481,1.8138,0.13777,0.082986,2.8505997755382455
2609.4,7.5587,464.72,2.0153,0.15963,0.076763,0.10912,0.1628,0.19897,0.10582,1.8293,0.14065,0.083251,2.866275820403107
953.37,9.1145,116.84,1.0655,0.13279,0.094277,0.098188,0.18842,0.81647,0.1656,0.97846,0.3561,0.069245,2.899555420534127
