Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
57.332,171.42,44.535,2.5163,5.5065e-06,0.31304,0.072173,0.033247,0.038408,0.24764,0.03197,0.12274720675641508
57.257,171.09,44.717,2.5024,5.5311e-06,0.31326,0.072325,0.033347,0.038476,0.2533,0.032135,0.12380706991942077
58.381,143.54,44.8,2.4734,5.8108e-06,0.31359,0.072371,0.033398,0.038487,0.26137,0.032163,0.1252305158514612
57.137,155.74,44.011,2.6005,5.4605e-06,0.3115,0.071144,0.032609,0.037973,0.27036,0.030834,0.1257361125971779
58.038,169.78,44.307,2.5188,5.6661e-06,0.31304,0.072101,0.033199,0.038368,0.2717,0.031899,0.1267191213091974
67.225,137.31,44.135,2.5219,5.5459e-06,0.31344,0.071384,0.032721,0.03802,0.27697,0.031202,0.12729026949026104
50.337,127.57,44.435,2.5196,5.5131e-06,0.31205,0.072121,0.033322,0.038428,0.27707,0.031755,0.12745663151684242
57.19,171.26,45.406,2.5394,5.899e-06,0.31248,0.071928,0.033108,0.038304,0.28893,0.031705,0.12940866374958007
57.348,170.9,44.064,2.5242,5.6579e-06,0.31293,0.072085,0.033189,0.038363,0.30057,0.031873,0.13150150425628856
50.018,133.74,45.261,2.5197,5.5389e-06,0.312,0.072194,0.033367,0.038467,0.31495,0.031838,0.13380134875830801
