Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g262),Error (g207),Error (g101),Error (curve),Error (g240),Error (g95),Error (g14),Error (g287),Reduced Error
601.52,528.19,695.78,170.22,11.845,274.44,72.854,17.239,0.10524,0.12973,0.042475,0.044936,0.37201,0.22292,0.17525,0.052189,0.095589,1.2403509361330027
599.11,527.01,695.86,170.37,11.856,272.15,72.052,17.239,0.10532,0.1299,0.042589,0.044895,0.37157,0.22298,0.17569,0.052192,0.095517,1.2406598234461583
714.1,519.87,694.57,136.51,5.2384,1.3065,49.059,17.233,0.14248,0.13471,0.058727,0.063121,0.26275,0.23553,0.19448,0.046198,0.10821,1.246202451627131
752.46,519.7,692.93,161.74,5.145,1.3705,49.16,17.206,0.14098,0.13429,0.058248,0.063818,0.26757,0.23536,0.19288,0.045919,0.10797,1.2470388896489593
597.34,526.99,695.87,170.43,11.456,270.34,71.779,17.24,0.10519,0.12973,0.042739,0.04521,0.37853,0.22298,0.17564,0.052133,0.095543,1.2476942578072296
597.69,527.19,695.72,161.46,11.853,268.81,72.252,16.991,0.10534,0.12992,0.042569,0.044749,0.38202,0.223,0.17564,0.052213,0.095504,1.250959374569066
714.0,518.71,690.6,129.53,5.273,1.385,49.605,17.157,0.14202,0.13469,0.058389,0.062915,0.27126,0.23541,0.19444,0.046277,0.10811,1.2535084178679035
678.69,528.14,695.72,164.91,13.242,278.27,72.06,16.998,0.10523,0.12991,0.041856,0.045182,0.38733,0.22285,0.17398,0.051593,0.095982,1.2539031604219788
593.44,527.22,695.73,164.79,12.015,273.11,71.906,16.987,0.10538,0.13006,0.042591,0.044563,0.38493,0.22299,0.17593,0.05231,0.095374,1.2541252430525205
671.52,526.99,694.68,157.96,12.274,252.0,71.805,16.987,0.10531,0.12973,0.042134,0.045664,0.38741,0.22307,0.17429,0.051361,0.096186,1.2551614333102714
