Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
478.84,0.50816,99.543,11.785,4.3216e-06,0.064619,0.087766,0.055118,0.12766,0.067043,0.27291,0.6751135968290054
483.41,0.50395,99.159,11.965,4.4569e-06,0.064533,0.087582,0.055153,0.1278,0.067259,0.27417,0.6764961418730002
484.95,0.50223,99.479,12.046,4.4106e-06,0.064488,0.087587,0.055169,0.12781,0.067273,0.27482,0.67714871083584
484.42,0.5022,99.725,12.03,4.4708e-06,0.064501,0.087603,0.055167,0.12779,0.067251,0.27498,0.6772914266466004
482.75,0.50273,99.598,12.032,4.4705e-06,0.064508,0.087612,0.055163,0.12778,0.067244,0.27505,0.6773597317130295
484.41,0.50052,99.82,12.122,4.4154e-06,0.06446,0.08761,0.05518,0.12781,0.067268,0.27514,0.6774601631385333
484.64,0.50248,99.724,12.016,4.4694e-06,0.064506,0.087604,0.055165,0.12779,0.067247,0.27519,0.677501068458781
484.5,0.50219,99.922,12.024,4.4713e-06,0.064503,0.087623,0.055167,0.12777,0.06723,0.2757,0.6780000327679647
483.17,0.50223,99.537,12.048,4.477e-06,0.064501,0.087595,0.055166,0.12779,0.067264,0.27579,0.6781068652499334
481.75,0.50668,99.299,12.022,4.4766e-06,0.064512,0.087565,0.055159,0.12778,0.067276,0.27612,0.6784152960920873
