Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
332.17,0.0028451,76.729,9.704,0.13167,0.10965,0.26869,0.2221,0.041264,0.035523,0.1081,0.050991,0.13914,1.10711502242271
332.72,0.0030493,76.668,9.6039,0.13166,0.10965,0.27196,0.22202,0.041481,0.03539,0.10802,0.050945,0.13896,1.1100737685999351
338.75,0.0028664,75.857,9.704,0.13166,0.10979,0.2736,0.22212,0.04145,0.035462,0.10825,0.050831,0.1392,1.112371582973759
338.53,0.0028961,76.725,9.6541,0.13162,0.10975,0.27583,0.22201,0.041533,0.035354,0.10805,0.050888,0.139,1.1140348695062228
328.45,0.0031104,76.957,9.7809,0.13172,0.1096,0.27649,0.2222,0.040871,0.035764,0.10811,0.051162,0.13936,1.1152891748619418
331.87,0.0029618,77.181,9.7062,0.13167,0.10963,0.28024,0.22208,0.041191,0.035545,0.10801,0.051063,0.13912,1.1185495631223974
329.84,0.065641,75.634,10.079,0.13158,0.11038,0.28097,0.22268,0.03958,0.035883,0.10852,0.051354,0.1399,1.1208569469244674
329.53,0.065714,75.697,10.075,0.13158,0.11037,0.28112,0.22268,0.039582,0.035872,0.10851,0.051356,0.13988,1.1209524865275924
329.58,0.06585,75.735,10.048,0.13158,0.11037,0.28125,0.22265,0.03964,0.035844,0.10847,0.051351,0.13983,1.120994752408513
329.44,0.066823,75.751,10.075,0.13158,0.11037,0.28162,0.22268,0.039576,0.035869,0.10851,0.051361,0.13988,1.1214500160582161
