Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
1136.9,3.0044,49.633,2.6168,0.15347,0.94803,0.25269,0.10363,0.20795,0.16656,0.085961,0.14763,0.11283,2.178754691654682
1154.4,2.832,50.129,2.6247,0.15318,0.95007,0.25257,0.10353,0.20737,0.16673,0.085792,0.14754,0.11218,2.1789689572092144
1168.0,2.8599,47.696,2.5915,0.1538,0.96049,0.25243,0.10293,0.20793,0.16659,0.086215,0.14853,0.11235,2.1912732637892915
1172.3,2.888,47.581,2.6383,0.15308,0.96137,0.25283,0.10357,0.20763,0.16655,0.085697,0.1473,0.11326,2.1913010322884
1160.0,2.8973,49.905,2.5573,0.15433,0.96566,0.25203,0.10264,0.20793,0.16673,0.086604,0.14944,0.11127,2.196631697039305
1183.2,2.7217,50.75,2.5947,0.15354,0.97413,0.2521,0.10297,0.20701,0.16693,0.086079,0.1486,0.11096,2.2023293198718132
1132.6,2.9954,50.19,2.5468,0.15458,0.99084,0.25208,0.10276,0.20838,0.16662,0.08676,0.14949,0.11149,2.223007678389663
1175.7,2.8973,45.646,2.6888,0.15237,1.0092,0.25342,0.1048,0.20765,0.16638,0.085165,0.1459,0.11487,2.2396939019930775
1217.8,2.4498,51.382,2.6336,0.15264,1.0152,0.25211,0.10337,0.2058,0.16721,0.085491,0.14779,0.11028,2.2399010932207974
1232.6,2.4004,46.564,2.6841,0.15193,1.0157,0.25283,0.10361,0.2061,0.16689,0.084964,0.14645,0.11237,2.24084743256887
