Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
180.95,0.65937,48.629,3.1537,1.3281e-06,0.076698,0.13426,0.065502,0.14609,0.059847,0.30678,0.7891708573280072
180.92,0.65909,48.909,3.1666,1.338e-06,0.076623,0.13405,0.06538,0.14597,0.059742,0.30987,0.7916342930357603
180.91,0.6596,48.656,3.155,1.3111e-06,0.076711,0.13432,0.065554,0.14614,0.059895,0.30904,0.7916556260661031
180.47,0.658,48.625,3.1445,1.3337e-06,0.076768,0.1344,0.065555,0.14612,0.059909,0.31268,0.7954255550341462
180.39,0.65769,48.13,3.0949,1.3259e-06,0.077096,0.13522,0.065987,0.14647,0.060314,0.31122,0.7963085528301368
180.95,0.66002,48.043,3.1559,1.3286e-06,0.076611,0.13407,0.06542,0.14605,0.059744,0.31529,0.7971851650113805
181.14,0.65915,48.632,3.1538,1.3011e-06,0.076729,0.13439,0.065605,0.14619,0.059936,0.31482,0.7976728486716899
180.16,0.65721,48.933,3.1656,1.336e-06,0.076649,0.13408,0.06538,0.14596,0.059757,0.31674,0.7985727442800321
184.87,0.66232,48.61,3.1544,1.423e-06,0.076534,0.13383,0.065267,0.14592,0.059559,0.32155,0.8026601707010919
180.85,0.65953,49.538,3.2738,1.3235e-06,0.075925,0.13241,0.064597,0.14535,0.058994,0.32552,0.8028014114025046
