Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g185),Error (curve),Error (g238),Error (g223),Error (g50),Error (g138),Error (g39),Error (g243),Reduced Error
1697.6,4.5499,21.594,2.1018,0.15321,0.063114,0.88158,0.16508,0.57256,0.2406,0.12965,0.096304,0.066685,2.3687936715634557
1803.7,5.2143,21.355,1.9724,0.15221,0.063809,1.0871,0.16548,0.59613,0.23605,0.1302,0.096866,0.066413,2.5942316883179233
1848.1,5.3551,21.045,2.0541,0.15119,0.063226,1.0104,0.16552,0.70101,0.23561,0.12969,0.096794,0.066716,2.620175598117036
1809.2,5.5945,20.549,1.8868,0.15178,0.063553,1.056,0.1657,0.71692,0.23527,0.13026,0.096797,0.06671,2.6830104006877136
1682.2,5.0225,22.131,2.212,0.15101,0.062677,0.94053,0.16498,0.89432,0.23427,0.12882,0.096996,0.06646,2.740047346836268
1812.3,6.0059,19.451,1.8332,0.15108,0.062895,1.1678,0.16589,0.71745,0.23525,0.13005,0.09654,0.067292,2.794294252024043
1740.4,5.5107,20.773,1.9527,0.15154,0.063134,0.97412,0.1655,0.98715,0.23483,0.12967,0.096802,0.066723,2.8694726699984336
1754.0,5.0642,20.112,2.0345,0.15198,0.062362,1.243,0.16546,0.76317,0.2401,0.12943,0.096072,0.0674,2.9190249808663182
1810.7,5.2062,20.955,2.0229,0.15181,0.063243,0.96055,0.1655,1.049,0.23703,0.1298,0.096639,0.066753,2.920301385597326
1913.4,5.5478,19.161,1.8754,0.15187,0.062957,1.4126,0.16603,0.63665,0.24015,0.13042,0.096059,0.067561,2.9643086247532926
