Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
2284.9,9.9687,490.7,1.8118,0.14604,0.06094,0.1101,0.16111,0.91194,0.13045,1.5034,0.1555,0.066329,3.245772963361592
2280.0,9.9563,487.66,1.8624,0.14584,0.060984,0.10984,0.16129,0.80362,0.13065,1.6516,0.15657,0.06634,3.286690114916741
2272.4,9.9199,489.12,1.7602,0.14682,0.0609,0.11014,0.16101,0.92807,0.13042,1.5324,0.15565,0.066359,3.291744032631033
2271.7,9.9176,489.23,1.7579,0.14681,0.060899,0.11014,0.161,0.93381,0.13042,1.535,0.15565,0.066364,3.3000760076686517
2267.5,9.8214,487.95,1.761,0.14705,0.06096,0.11007,0.16106,0.93544,0.13057,1.5375,0.15607,0.066327,3.3050035161425684
2266.4,9.9965,489.16,1.7855,0.14605,0.060873,0.10997,0.16109,0.89195,0.13037,1.591,0.15623,0.066454,3.313976870748767
2278.0,9.9423,488.84,1.7576,0.14715,0.060881,0.11021,0.16096,0.91013,0.13043,1.5989,0.15534,0.066319,3.3402759754469344
2294.1,9.929,489.48,1.8344,0.14639,0.060994,0.11012,0.16116,0.86998,0.13061,1.6412,0.15545,0.066233,3.342183017728978
2274.3,9.9254,489.52,1.7452,0.14707,0.060878,0.11022,0.16095,0.94555,0.13038,1.5732,0.1553,0.066345,3.3498530255354866
2273.2,9.9207,490.75,1.7794,0.14613,0.060932,0.11008,0.16107,0.96365,0.1304,1.5627,0.15574,0.066388,3.3570598741731636
