Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
479.04,161.46,113.91,1.2077,3.8259e-05,0.29498,0.018643,0.027686,0.045411,0.036663,0.3477,0.1285135571510084
494.61,152.92,113.9,1.2061,3.9107e-05,0.29837,0.018641,0.027685,0.045415,0.036685,0.34781,0.1291001758265459
493.32,175.24,113.47,1.2206,3.9509e-05,0.30565,0.018641,0.02765,0.04536,0.036505,0.34773,0.1302562073074693
500.5,152.61,114.48,1.204,3.9407e-05,0.30876,0.01864,0.02769,0.045423,0.036714,0.34784,0.13084433794514358
485.45,162.27,112.6,1.1986,3.7434e-05,0.31002,0.018639,0.027707,0.045441,0.036788,0.3478,0.13106664557914027
474.01,166.38,111.07,1.2787,3.9581e-05,0.32076,0.018641,0.027505,0.04513,0.035751,0.34736,0.1325247187458786
503.46,152.44,110.83,1.206,3.805e-05,0.32074,0.018633,0.027682,0.045407,0.036698,0.34794,0.1328502488476695
479.04,153.08,113.91,1.2106,3.9575e-05,0.33302,0.018648,0.027675,0.045403,0.036613,0.34772,0.13484637519158915
469.92,266.95,118.86,1.2864,4.1722e-05,0.34946,0.01865,0.027503,0.045115,0.035665,0.34702,0.13723401760782092
509.62,283.46,116.03,1.189,3.7944e-05,0.35214,0.018632,0.027736,0.045477,0.036953,0.34778,0.13811933605395574
