Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
216.85,0.52068,151.89,5.1228,0.10367,0.055719,0.12036,0.073258,1.9151,0.052905,2.321018212487686
250.59,0.31916,151.04,5.1458,0.10395,0.055745,0.11936,0.073558,1.9213,0.052345,2.326244347233092
216.42,0.55444,152.26,5.0634,0.10416,0.055659,0.12106,0.073238,1.9201,0.053141,2.32738289627401
217.56,0.52459,150.61,5.1358,0.10351,0.055744,0.12019,0.073254,1.9226,0.052852,2.328127717635658
231.06,0.49926,151.89,5.1244,0.10364,0.055737,0.12068,0.07313,1.9247,0.052953,2.3308641705675397
229.07,0.52052,151.61,5.1225,0.10362,0.055737,0.12074,0.073103,1.9267,0.05299,2.332911696589009
222.44,0.48534,150.34,5.1174,0.10372,0.055727,0.12021,0.073316,1.9275,0.052821,2.333253889274613
211.64,0.48635,154.6,5.5137,0.10122,0.056127,0.11668,0.073174,1.9402,0.052062,2.3394661549774245
230.71,0.49877,153.36,4.9372,0.10541,0.05554,0.12228,0.073381,1.9298,0.053468,2.3398405472579835
228.94,0.51178,153.03,4.9295,0.10545,0.055535,0.12235,0.073382,1.9328,0.053502,2.3430171524378345
