Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1422.0,0.24201,131.76,3.7965,1.0468,0.083441,0.047571,0.1447,0.12279,0.24178,0.10025,0.14944,0.11138,2.048139386975573
1404.9,0.070634,96.635,7.4637,0.72393,0.034383,0.028918,0.13001,0.097847,0.25724,0.57133,0.13399,0.11475,2.092402537224075
1434.9,0.25605,100.48,3.566,1.0976,0.08712,0.0491,0.14581,0.12494,0.24098,0.10909,0.15179,0.11131,2.117706119023645
1468.0,0.25799,100.43,2.385,1.016,0.10761,0.077621,0.15666,0.14995,0.23283,0.10349,0.16632,0.113,2.1235046324347624
1430.6,0.071296,96.831,7.6408,0.88569,0.033268,0.02883,0.12956,0.097665,0.25741,0.44712,0.13359,0.11472,2.1278493946547363
1468.7,0.28938,98.242,2.2125,0.99732,0.11135,0.086883,0.15973,0.15604,0.23081,0.11064,0.1693,0.11434,2.1364290037579683
1436.7,0.26159,100.42,2.3942,1.055,0.10743,0.077382,0.15659,0.14975,0.23291,0.10276,0.16627,0.11298,2.161087757126381
1405.5,0.28757,102.68,2.2569,1.0402,0.11031,0.08465,0.15898,0.15448,0.23132,0.10807,0.16852,0.11399,2.170533426154301
1438.2,0.25757,102.32,3.6001,1.154,0.086685,0.048794,0.1456,0.12461,0.2411,0.10834,0.15143,0.11129,2.1719012781166027
1466.2,0.29979,102.8,2.1218,1.0202,0.11335,0.091967,0.16146,0.15922,0.22973,0.11359,0.171,0.1152,2.175753760198277
