Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.020616,4.5502e-07,778.4,502.21,175.65,773.4,82.54,3.2083,0.20211,0.1362,0.04369,0.11819,0.11368,0.093708,0.05568,0.22632,0.078276,1.067850903923234
0.020615,4.546e-07,776.57,501.58,175.58,773.0,82.578,3.2022,0.20215,0.13619,0.043657,0.11817,0.11369,0.093708,0.05581,0.22631,0.07839,1.068076996942768
0.02061,4.5503e-07,780.05,502.01,175.77,778.8,82.508,3.2083,0.20232,0.13618,0.043706,0.11818,0.11374,0.093709,0.055719,0.22636,0.078324,1.0682398806297857
0.020613,4.4149e-07,779.57,501.92,175.62,765.66,82.415,3.2001,0.20373,0.13625,0.043631,0.11817,0.1136,0.093707,0.055783,0.22635,0.078261,1.0694749783381647
0.02018,4.5519e-07,777.46,503.48,175.73,771.74,82.315,3.2075,0.20435,0.13621,0.043677,0.1182,0.11367,0.093692,0.055672,0.2263,0.078289,1.0700574100928084
0.020577,4.5648e-07,775.11,502.8,175.45,760.6,82.337,3.2358,0.20621,0.13628,0.043851,0.11833,0.1135,0.093705,0.054912,0.22612,0.077672,1.0705667120079427
0.020559,4.5555e-07,774.8,503.29,175.8,757.47,82.148,3.1939,0.20608,0.13625,0.043568,0.11818,0.11354,0.09371,0.055872,0.22628,0.078364,1.0718432395550712
0.020549,4.6802e-07,767.78,502.71,174.81,776.72,82.743,3.2661,0.20906,0.13619,0.044075,0.11841,0.11365,0.093683,0.054386,0.22594,0.077554,1.0729445453411293
0.020038,4.5467e-07,779.22,502.15,175.43,773.29,82.528,3.2461,0.20904,0.13626,0.04396,0.11836,0.11359,0.093675,0.054756,0.22617,0.077599,1.0734039550516195
0.020205,4.5499e-07,778.32,504.33,175.93,771.74,82.225,3.1965,0.20852,0.1362,0.043594,0.11815,0.1137,0.093699,0.055948,0.22636,0.078484,1.0746520961291197
