Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1114.0,0.33714,149.89,4.65,0.012099,0.012099141756895353
1114.0,0.33714,149.89,4.6502,0.012099,0.012099176797106863
1114.0,0.33714,149.89,4.6503,0.012099,0.012099187293625642
1114.0,0.33714,149.89,4.6503,0.012099,0.012099187361964248
1114.0,0.33714,149.89,4.6503,0.012099,0.01209919357870641
1114.0,0.33714,149.89,4.6519,0.0121,0.012099702855415112
1114.0,0.33714,149.89,4.6519,0.0121,0.012099716094850159
1114.0,0.33714,149.89,4.6519,0.0121,0.012099716094850159
1114.0,0.33714,149.89,4.6519,0.0121,0.012099716094850159
1114.0,0.33714,149.89,4.6519,0.0121,0.012099716094850159
