Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
616.62,0.47902,120.02,6.71,0.12761,0.09361,0.031217,0.2594,0.45443,0.11467,0.4724,0.028919,0.13328,1.7155371867358225
614.44,0.47972,121.46,6.6836,0.12771,0.093703,0.031376,0.25931,0.45528,0.11466,0.47749,0.028978,0.13334,1.7218584258858671
617.38,0.47931,121.56,6.6825,0.12773,0.093689,0.031411,0.25932,0.45926,0.11466,0.47695,0.02896,0.13333,1.7253092814629305
614.32,0.4804,119.91,6.7192,0.12757,0.093596,0.031132,0.25942,0.45947,0.11467,0.48003,0.028921,0.13327,1.7280791719844184
614.49,0.48066,122.35,6.719,0.12756,0.093584,0.031094,0.25943,0.45047,0.11468,0.48913,0.02897,0.13327,1.7281898836673522
617.85,0.47172,122.35,6.6699,0.12774,0.093713,0.031423,0.2593,0.4656,0.11467,0.47693,0.029027,0.13338,1.7317988392300607
617.9,0.47164,121.34,6.6722,0.12774,0.093709,0.031426,0.2593,0.46804,0.11467,0.47474,0.029005,0.13338,1.7320093235777507
621.71,0.47677,118.67,6.7137,0.12761,0.093571,0.031244,0.25941,0.46381,0.11467,0.48171,0.028864,0.13324,1.7341278618171254
621.87,0.47867,118.74,6.7148,0.12761,0.093569,0.031253,0.25941,0.45969,0.11467,0.4867,0.028851,0.13323,1.7349935772885814
617.96,0.47207,122.8,6.7138,0.12756,0.09357,0.031077,0.25944,0.45851,0.11469,0.48858,0.029008,0.1333,1.7357418393879627
