Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g50),Error (curve),Error (g223),Error (g243),Error (g238),Error (g138),Error (g185),Error (g39),Reduced Error
3735.2,0.0071554,65.387,11.947,0.15534,0.47636,0.46814,0.29842,0.080441,0.15936,0.14887,0.064414,0.098462,1.94980082161077
3801.2,0.0070168,67.771,12.051,0.1552,0.47375,0.48202,0.29551,0.080558,0.15931,0.14877,0.064489,0.098248,1.9578497161504822
3732.1,0.0072203,65.251,11.938,0.15533,0.47578,0.48563,0.29884,0.080369,0.15932,0.14886,0.064356,0.098505,1.966989035073584
3973.3,0.0066846,65.589,11.943,0.15441,0.46666,0.50754,0.29143,0.080714,0.15933,0.14845,0.064565,0.098013,1.9711087947066337
3973.4,0.0065807,63.529,11.947,0.15451,0.46908,0.50947,0.2928,0.080809,0.1594,0.14835,0.064706,0.098102,1.9772309756928295
3944.5,0.0067904,66.032,11.615,0.15389,0.46283,0.51838,0.29256,0.080619,0.15943,0.14889,0.064254,0.097834,1.9786910497080434
3937.5,0.0067228,69.166,12.141,0.15477,0.46918,0.51545,0.28822,0.08078,0.1593,0.14854,0.06465,0.097947,1.9788437311350995
3973.2,0.0065752,65.612,12.157,0.1548,0.47069,0.51311,0.28963,0.080864,0.15934,0.14827,0.064825,0.098091,1.9796233867628257
3973.2,0.0065574,66.019,12.2,0.15486,0.47123,0.51607,0.28891,0.080894,0.15934,0.14826,0.064862,0.098083,1.982512378067827
3975.6,0.0066382,67.051,12.28,0.15491,0.47042,0.52032,0.28803,0.080808,0.15924,0.14821,0.064809,0.098121,1.9848550375233578
