Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
2373.8,3.1661,498.94,2.2808,0.09786,0.15433,0.072163,0.1399,2.3317,0.20647,0.064939,0.21861,0.12771,3.413728124528681
1235.4,0.46494,498.66,19.572,0.084323,0.14882,0.08857,0.16943,2.3478,0.26648,0.082906,0.13336,0.28746,3.6091206489383127
1888.3,0.65825,491.78,19.764,0.082765,0.15507,0.090803,0.1674,2.33,0.29766,0.081294,0.13268,0.30156,3.6392594370264995
1270.0,0.49321,498.82,19.671,0.084386,0.1496,0.088794,0.16919,2.3656,0.29987,0.082681,0.13317,0.28877,3.6620914307716323
1252.5,0.48283,498.69,19.683,0.084465,0.14912,0.088441,0.16913,2.381,0.31718,0.082774,0.13312,0.28617,3.691447474707301
1396.8,0.57043,497.46,19.232,0.083654,0.1533,0.091963,0.17062,2.3659,0.30756,0.082236,0.13408,0.31851,3.7078457173246613
1674.0,0.65353,496.94,19.427,0.083029,0.15557,0.092443,0.16929,2.1499,0.52334,0.081612,0.13362,0.31919,3.7079654332351004
1424.7,0.59314,496.79,19.745,0.084014,0.15292,0.090815,0.1692,2.4009,0.2966,0.082053,0.13323,0.30412,3.713869245584082
1234.0,0.49627,491.68,19.166,0.084213,0.14993,0.089459,0.17041,2.3511,0.37566,0.082636,0.13374,0.30016,3.7373487069329347
1300.4,0.46286,498.94,19.394,0.083534,0.15056,0.090777,0.17027,2.3482,0.3755,0.082917,0.13409,0.30343,3.7392252683876364
