Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
648.72,0.40304,120.85,19.785,0.084692,0.070081,0.21399,0.055668,0.12936,0.06196,0.615749636953694
648.62,0.40292,120.89,19.794,0.084695,0.070077,0.21401,0.055669,0.12936,0.061959,0.6157650067646276
648.64,0.40301,121.06,19.796,0.084708,0.070056,0.21428,0.055673,0.12934,0.061959,0.6160171767892441
648.59,0.40284,120.88,19.968,0.084648,0.070136,0.21457,0.055691,0.1295,0.061913,0.6164503521678222
649.23,0.40317,121.1,19.991,0.084657,0.07012,0.21468,0.055702,0.1295,0.061905,0.6165697042171194
649.19,0.4022,121.35,19.991,0.084679,0.070087,0.21477,0.055701,0.12947,0.061913,0.6166179789274617
649.47,0.40048,121.52,19.985,0.084694,0.070066,0.21482,0.055695,0.12943,0.061925,0.6166281103160918
647.62,0.40327,121.39,20.0,0.084689,0.070071,0.21484,0.055705,0.12946,0.061909,0.6166712692606179
649.21,0.40309,121.18,19.976,0.084667,0.070105,0.21484,0.055701,0.12948,0.06191,0.6167028575607668
652.17,0.39946,120.71,19.7,0.084682,0.070102,0.21568,0.055639,0.1293,0.061994,0.6174022711975774
