Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1793.5,0.13763,122.97,11.236,0.21949,0.087168,0.067721,0.064871,0.12897,0.055794,0.624016464299752
1794.9,0.13835,122.33,11.255,0.2223,0.087117,0.067784,0.064844,0.12903,0.055799,0.6268805096313765
1790.6,0.1363,124.19,11.209,0.22263,0.087255,0.067607,0.064919,0.12886,0.055787,0.6270585950478534
1789.9,0.1366,124.18,11.229,0.22303,0.087238,0.067613,0.064907,0.12887,0.055797,0.6274485481024358
1786.0,0.1377,122.18,11.203,0.22475,0.087111,0.067805,0.064918,0.12898,0.055759,0.629324879761217
1788.5,0.13692,122.19,11.117,0.22546,0.087179,0.067784,0.064959,0.12895,0.05572,0.6300501381223957
1790.3,0.13613,122.75,11.191,0.22746,0.087173,0.067734,0.064934,0.12893,0.055753,0.6319873367392861
1790.2,0.13576,123.42,11.229,0.22777,0.087192,0.067676,0.064925,0.12889,0.055775,0.6322329689175972
1791.2,0.1358,125.07,11.214,0.23011,0.087312,0.067524,0.064923,0.1288,0.0558,0.6344688310375948
1792.5,0.13767,121.94,10.925,0.2306,0.087318,0.067763,0.065024,0.12894,0.055648,0.6352945793228623
