Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
84.241,3.367,84.577,8.3527,0.11626,11.993,0.21268,0.067681,0.090977,0.18631,12.666878375261662
83.89,3.1737,86.718,8.3619,0.11741,11.99,0.21501,0.068209,0.090404,0.18827,12.669047609280002
83.677,3.4076,84.548,8.0466,0.11594,11.997,0.2119,0.067506,0.091211,0.18571,12.669128342949412
84.454,3.1512,85.853,8.3422,0.11755,11.989,0.2154,0.068236,0.090377,0.18838,12.66923195592645
85.232,3.2796,86.338,8.6171,0.11679,11.993,0.2138,0.06796,0.090537,0.18722,12.669591289812066
83.315,3.3252,85.861,8.5026,0.11643,11.995,0.21287,0.067819,0.090796,0.18673,12.669858203129241
83.48,3.3995,84.706,8.4671,0.116,11.997,0.21201,0.067615,0.09104,0.18597,12.669969680391903
84.479,3.1167,85.276,8.4388,0.11774,11.989,0.21581,0.068316,0.090289,0.18863,12.669986716389593
83.06,3.1781,86.572,8.2532,0.11733,11.991,0.21473,0.068163,0.090496,0.18813,12.670298665614826
85.514,3.1343,86.654,8.3744,0.11774,11.99,0.21587,0.068323,0.090233,0.1887,12.67076018060103
