Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
16.722,84.167,63.01,2.8644,0.077822,0.095381,0.1222,0.51944,0.30213,0.17746,0.34414,0.16549,0.18058,1.9846414922095776
16.833,88.508,61.717,2.8706,0.07778,0.095678,0.12229,0.54466,0.30263,0.17788,0.34606,0.1661,0.18113,2.0142204702041213
17.871,93.627,63.943,2.8736,0.076188,0.095928,0.12081,0.5581,0.30191,0.17712,0.34134,0.16511,0.18067,2.017174431805328
16.82,85.349,64.442,2.8634,0.076941,0.095668,0.12138,0.56513,0.30169,0.17705,0.34343,0.16524,0.1804,2.026933730004164
16.333,84.499,61.598,2.8644,0.078338,0.095492,0.12273,0.55614,0.30264,0.17797,0.34734,0.16623,0.18107,2.027956447381153
16.148,82.698,62.669,2.9229,0.07799,0.095341,0.12289,0.56749,0.30217,0.17722,0.34453,0.16573,0.18025,2.0336103440964597
18.278,81.018,58.166,4.1009,0.078517,0.089534,0.13072,0.64964,0.30129,0.17103,0.28644,0.15977,0.17022,2.0371522814372627
19.236,85.53,58.882,2.6077,0.080536,0.094398,0.1221,0.62426,0.30354,0.18018,0.34524,0.1653,0.18269,2.098242598632751
15.965,84.304,63.098,3.0115,0.077345,0.095471,0.12307,0.64677,0.30195,0.17654,0.34271,0.16565,0.17963,2.1091371513282815
8.5397,26.19,61.903,3.8946,0.082223,0.088035,0.13327,0.70486,0.29899,0.17153,0.30951,0.16315,0.16909,2.1206629657316607
