Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
0.13756,515.3,630.67,769.7,243.85,542.87,72.907,11.856,0.04324,0.37347,0.11051,0.1318,0.21948,0.050073,0.03646,0.10276,0.14431,1.212101880915021
0.18473,501.07,627.1,770.69,240.46,539.93,72.0,11.869,0.042867,0.38612,0.11173,0.13217,0.21954,0.050391,0.036773,0.10248,0.1449,1.2269836043319426
0.17074,520.53,632.89,769.82,244.46,541.82,71.07,11.812,0.043284,0.38618,0.11293,0.132,0.21947,0.050174,0.036737,0.10243,0.14456,1.2277674995770456
0.13594,515.01,630.86,766.3,231.43,546.37,71.661,11.851,0.042942,0.41548,0.11058,0.13237,0.21946,0.050526,0.036986,0.10239,0.14511,1.2558363241110413
0.11167,515.02,632.85,773.63,244.37,539.56,73.766,11.812,0.043282,0.42507,0.11113,0.13164,0.21957,0.049832,0.03622,0.10301,0.14405,1.2638048208762749
0.14564,526.06,651.46,784.12,197.43,547.11,72.537,11.914,0.04305,0.42053,0.11517,0.13246,0.21975,0.050921,0.037216,0.10182,0.14612,1.2670340201160455
0.18031,520.86,634.93,784.81,243.91,544.54,73.251,11.815,0.043499,0.42943,0.11087,0.13147,0.21947,0.049956,0.036366,0.10269,0.14404,1.267797567106613
0.10896,535.32,696.95,769.81,243.66,556.38,73.654,11.842,0.043929,0.43782,0.10748,0.13123,0.21989,0.049376,0.035817,0.10317,0.14396,1.2726683853048852
0.25803,643.7,633.94,779.22,237.31,534.98,73.155,11.507,0.045701,0.39733,0.15507,0.13012,0.21903,0.049517,0.036319,0.10242,0.14104,1.276554057223941
0.13771,516.39,630.66,768.67,245.98,546.96,74.157,11.841,0.043364,0.45371,0.10805,0.13152,0.21941,0.050034,0.036305,0.10298,0.14398,1.2893580654740173
