Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1432.9,0.17726,125.19,6.4804,0.061508,0.1301,0.17325,0.093723,0.068115,0.054659,0.5813538904532202
1433.0,0.17716,125.25,6.484,0.061516,0.13009,0.17332,0.093712,0.068114,0.05466,0.5814143959429373
1433.6,0.17726,124.8,6.4802,0.061509,0.13011,0.17337,0.093723,0.068119,0.054658,0.5814942072500714
1427.6,0.17838,125.14,6.4539,0.061454,0.13015,0.17335,0.093799,0.068116,0.054656,0.5815244439630175
1432.6,0.17853,124.53,6.4423,0.061427,0.13019,0.17334,0.093839,0.068119,0.054647,0.5815637065394593
1431.9,0.1773,125.2,6.5105,0.061576,0.13005,0.17356,0.093627,0.068106,0.054661,0.5815863532728286
1427.7,0.17795,125.21,6.5002,0.061557,0.13007,0.17363,0.093654,0.068106,0.054661,0.581676649316731
1428.3,0.17795,125.21,6.509,0.061577,0.13006,0.17385,0.093626,0.068103,0.05466,0.5818740228217432
1447.9,0.17568,124.65,6.6159,0.061797,0.12994,0.17416,0.093321,0.068066,0.054659,0.5819434774784782
1433.3,0.1772,125.47,6.4761,0.061496,0.13009,0.17398,0.093738,0.068113,0.054659,0.5820767415103613
