Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
580.41,360.08,33.88,286.34,150.3,116.21,62.394,11.522,0.12155,0.26833,0.13086,0.1105,0.35852,0.023344,0.026205,0.10199,0.12011,1.2614012313975014
542.56,371.58,33.19,287.17,146.86,116.14,62.429,11.628,0.12132,0.26864,0.13031,0.10753,0.36805,0.023294,0.026465,0.10071,0.11733,1.263645393099303
544.35,362.11,34.121,285.56,147.42,118.44,62.372,11.518,0.12141,0.26854,0.13043,0.10898,0.3695,0.023239,0.02642,0.10092,0.118,1.267428015157432
540.45,372.4,35.686,285.73,150.8,117.55,62.483,11.35,0.12113,0.26845,0.13046,0.10991,0.36918,0.023327,0.026434,0.1009,0.11843,1.2682191300671093
540.16,372.07,33.999,293.36,153.98,108.74,62.854,11.385,0.12125,0.2682,0.13028,0.10827,0.37629,0.023183,0.026278,0.10104,0.11844,1.2732398259451851
541.58,359.74,36.068,310.64,146.01,107.34,62.761,11.424,0.12194,0.26762,0.1302,0.10572,0.38161,0.022784,0.026238,0.10113,0.1169,1.2741363873277867
581.93,359.34,35.615,282.1,152.52,100.55,62.124,12.533,0.12173,0.26892,0.12994,0.11034,0.37344,0.023299,0.026061,0.10155,0.11886,1.2741429876308592
543.17,379.37,35.006,284.53,148.38,116.39,62.49,11.963,0.12117,0.26893,0.12994,0.10719,0.38108,0.02334,0.026469,0.10047,0.11671,1.2752841169634672
541.01,373.16,35.654,292.45,152.75,114.3,61.796,11.262,0.12122,0.26826,0.13053,0.11029,0.37599,0.023289,0.026265,0.101,0.11864,1.2754803541511894
571.0,371.91,38.112,296.3,147.7,118.42,61.986,11.387,0.12143,0.26809,0.13074,0.11095,0.37922,0.023333,0.026281,0.10168,0.1189,1.2806129674146023
