iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,1760.4458556508907,9.00573285117198,494.5086677739723,7.78547003553545,5.881671716518151,0,5.881671716518151
2,2624.8930066090816,1.7116930311211087,322.9763353647267,8.370653079528587,4.3138062025365045,0,4.3138062025365045
3,125.25178085843885,3.3049302473114697,391.33812007643854,1.3348252887500638,0.24379784231191826,0,0.24379784231191826
4,2117.3755799444075,4.514935678135111,285.9537418218627,14.47906229049638,5.473277898543554,0,5.473277898543554
5,3485.7941800433327,6.868979359971354,57.27096891952678,18.47099929019876,8.91688528249313,0,8.91688528249313
6,927.3029132939506,8.230695457599438,105.24537811605781,12.683853234392434,2.220010305976841,0,2.220010305976841
7,1334.148174367814,0.10564803865700648,164.57856528406143,3.3761093278502203,0.32332014840682055,0,0.32332014840682055
8,3743.0478876113866,5.384955921255776,199.13482531187637,16.319884826054395,9.291296150194697,0,9.291296150194697
9,127.79,10.0,117.64,13.717,0.2806060670341855,0,0.2806060670341855
10,150.48,1.6529,440.68,20.0,0.8668996265294521,0,0.8668996265294521
11,286.8,1.7484,242.54,1.0,0.3856302737494782,0,0.3856302737494782
12,727.72,2.3638,238.82,1.0144,0.17685527498892742,0,0.17685527498892742
