Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g14),Error (g240),Error (g101),Error (g72),Error (g287),Error (g207),Error (g262),Error (g95),Reduced Error
3358.6,0.10294,164.76,3.4274,0.43662,0.045722,0.22105,0.056954,0.096054,0.11179,0.081687,0.11926,0.13648,1.3056260343597368
3321.4,0.1049,165.1,3.2668,0.45948,0.04567,0.22138,0.060073,0.095788,0.11183,0.083771,0.11855,0.137,1.3335461300314642
3934.5,0.090207,149.06,4.9151,0.48803,0.047598,0.21959,0.039509,0.099506,0.11272,0.068638,0.1254,0.13422,1.3352050821991146
3935.6,0.090215,149.13,4.9147,0.48821,0.0476,0.21959,0.039512,0.099507,0.11272,0.068643,0.12539,0.13422,1.3353851399175414
3929.0,0.090099,149.11,4.9105,0.48836,0.047608,0.21959,0.039521,0.099497,0.11271,0.068646,0.12538,0.13422,1.3355308355496738
3996.2,0.091057,146.97,4.8645,0.48836,0.046853,0.21952,0.040524,0.099178,0.11281,0.069629,0.12524,0.13429,1.3363960163350435
3933.3,0.09022,149.04,4.8499,0.48949,0.047314,0.21958,0.040125,0.099268,0.11271,0.06922,0.12514,0.13426,1.3371135115827104
3178.1,0.10759,163.19,3.8369,0.48142,0.047209,0.22064,0.048446,0.097333,0.11083,0.075502,0.12133,0.1354,1.338118593134526
3935.2,0.090346,148.49,4.924,0.49134,0.047558,0.21958,0.039486,0.099508,0.11271,0.068611,0.12546,0.13422,1.338474899400238
3177.5,0.10735,163.2,3.8666,0.48422,0.047291,0.22061,0.04796,0.097415,0.11082,0.075145,0.12148,0.13533,1.3402750572637754
