Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1649.9,0.21194,150.82,5.8406,0.17279,0.12938,0.64635,0.41453,0.25839,0.10073,0.11711,0.12107,0.12919,2.0895308163143484
1656.2,0.21261,150.22,5.8408,0.17285,0.12929,0.65155,0.41282,0.25829,0.10071,0.1171,0.12106,0.12922,2.0928883802267597
1660.5,0.21442,149.23,5.8431,0.17295,0.12912,0.65673,0.41209,0.25814,0.1007,0.11708,0.12102,0.12929,2.0971128263274266
1671.5,0.21269,149.48,5.8243,0.1729,0.12914,0.66152,0.4107,0.25811,0.10068,0.11708,0.12111,0.12923,2.100474745403073
1663.2,0.2112,151.92,5.8209,0.17272,0.12937,0.65461,0.41758,0.25834,0.10071,0.1171,0.12118,0.12911,2.1007209899982344
1660.1,0.21092,150.39,5.8395,0.17279,0.12936,0.65175,0.42047,0.25835,0.10073,0.1171,0.12108,0.12921,2.10083736366236
1671.1,0.21267,149.69,5.8891,0.17293,0.12921,0.66072,0.41241,0.25828,0.1008,0.11708,0.12086,0.12938,2.1016755122990918
1636.3,0.21894,148.7,5.827,0.17304,0.12901,0.65087,0.42323,0.25803,0.10064,0.11708,0.12106,0.12926,2.102219765292421
1671.1,0.2128,149.08,5.8902,0.17296,0.12918,0.66013,0.41363,0.25825,0.1008,0.11708,0.12084,0.12941,2.102269606175505
1648.0,0.21363,151.01,5.9994,0.17293,0.12947,0.64365,0.43002,0.25871,0.10101,0.11711,0.12044,0.12958,2.1029253473399248
