Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g237),Error (g86),Error (g303),Error (g59),Error (g63),Reduced Error
185.79,596.38,57.437,15.704,1.7719e-05,0.28768,0.04511,0.02231,0.030888,0.029065,0.27035,0.11423458013335148
182.84,595.98,57.321,15.703,1.7733e-05,0.28786,0.045179,0.022323,0.030856,0.029081,0.27022,0.11425278769112181
182.84,595.98,57.321,15.601,1.7733e-05,0.28817,0.045161,0.022305,0.030862,0.029087,0.27028,0.11431179903173998
187.02,622.69,57.038,15.58,1.8315e-05,0.28875,0.045172,0.022347,0.030895,0.029068,0.27074,0.11449514886844402
179.48,621.85,57.056,15.704,1.7263e-05,0.29156,0.045373,0.022385,0.030789,0.02912,0.27014,0.11489504533717576
184.98,614.55,57.283,15.718,1.7119e-05,0.29236,0.045211,0.022344,0.030854,0.029088,0.27035,0.11503492409674905
183.84,595.79,57.816,15.601,1.8082e-05,0.29661,0.045133,0.022296,0.030868,0.029083,0.27023,0.1157032398697561
185.2,564.87,57.335,15.608,1.7896e-05,0.29736,0.044966,0.02224,0.030922,0.02905,0.27031,0.11580814848964076
171.92,643.85,58.041,15.586,1.7301e-05,0.29823,0.045616,0.022424,0.030662,0.029204,0.26953,0.11594455716505207
190.47,626.38,56.6,15.599,1.8388e-05,0.30453,0.045114,0.022352,0.030937,0.029044,0.27105,0.11717098855246814
