Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1438.6,0.18691,123.63,5.596,0.091496,0.044217,0.097539,0.25494,0.13443,0.02998,0.25596,0.11485,0.13245,1.1558641156981408
1453.4,0.183,124.06,5.5463,0.093164,0.044813,0.097806,0.2526,0.13464,0.030117,0.25578,0.11481,0.13275,1.1564745054193812
1453.8,0.18347,124.1,5.5524,0.092914,0.044735,0.097776,0.25839,0.13461,0.030105,0.25579,0.11481,0.13271,1.1618338368119918
1454.6,0.18052,125.14,5.4942,0.094454,0.045381,0.098097,0.25857,0.13488,0.030283,0.25558,0.11478,0.13307,1.165094090296689
1453.5,0.18286,124.44,5.527,0.093673,0.045047,0.097905,0.26067,0.13472,0.030171,0.2557,0.1148,0.13287,1.1655536642622206
1453.4,0.18295,124.39,5.5164,0.094177,0.045208,0.097949,0.26301,0.13476,0.030183,0.25567,0.1148,0.13295,1.1686968902564099
1465.1,0.18368,123.99,5.6625,0.089567,0.043208,0.09727,0.27456,0.13411,0.029921,0.25616,0.11483,0.13193,1.1715552686925463
1467.3,0.18413,123.62,5.7621,0.088869,0.041813,0.096791,0.28144,0.13368,0.029744,0.25654,0.11487,0.13125,1.174987941792032
1454.0,0.18015,125.2,5.4332,0.097,0.046248,0.098425,0.26628,0.13517,0.030415,0.25534,0.11475,0.13351,1.1771351115935158
1453.9,0.18039,125.14,5.4244,0.097415,0.046396,0.098471,0.26966,0.13521,0.030431,0.2553,0.11475,0.13358,1.181204004791626
