Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1657.6,0.15619,125.01,4.9314,0.054884,0.22891,0.069286,0.1332,0.10213,0.05685,0.6452697035102702
1657.8,0.15618,125.01,4.9307,0.054884,0.22893,0.069286,0.13321,0.10214,0.056848,0.6452981895786185
1643.9,0.15682,124.98,4.9412,0.054863,0.22957,0.069278,0.13313,0.10206,0.056882,0.6457847950630745
1676.0,0.15348,125.43,4.9731,0.054872,0.22987,0.069255,0.13308,0.1018,0.056993,0.6458750051287643
1691.3,0.15385,124.24,4.9714,0.054872,0.23,0.069219,0.13319,0.10176,0.057019,0.6460560884920512
1657.4,0.15643,125.03,4.9371,0.054878,0.22992,0.069274,0.13319,0.10208,0.056872,0.6462117963849752
1658.8,0.15619,125.01,4.971,0.054846,0.23031,0.069233,0.13308,0.10179,0.056998,0.646253409800235
1676.1,0.15363,125.43,4.9872,0.054862,0.2305,0.069234,0.13304,0.10168,0.057047,0.6463648256149599
1643.0,0.1566,125.31,4.9247,0.054882,0.23011,0.069308,0.13317,0.10222,0.056814,0.6465018348674614
1644.0,0.15667,125.81,4.9059,0.054907,0.23,0.069337,0.13322,0.1024,0.056738,0.6466009382512807
