Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
662.53,0.58107,140.39,8.7182,0.15921,0.11957,0.12562,0.057138,0.13937,0.1192,0.59625,0.070102,0.32845,1.7149050936773218
678.18,0.56566,141.72,8.6963,0.15918,0.11959,0.12562,0.057165,0.13925,0.11907,0.60534,0.07003,0.32034,1.7155761260077467
666.78,0.57944,140.2,8.6957,0.15918,0.11962,0.12568,0.057175,0.1393,0.11899,0.60069,0.070103,0.32499,1.7157225845589918
662.32,0.58129,139.83,8.7635,0.15914,0.11964,0.12551,0.057056,0.13949,0.11873,0.58762,0.070177,0.33843,1.7157994273014499
667.6,0.57146,140.57,8.7423,0.15919,0.1196,0.12551,0.057083,0.13943,0.11902,0.59702,0.070126,0.32962,1.7166066734364427
662.74,0.58465,139.68,8.765,0.15911,0.11967,0.12553,0.057058,0.13948,0.11853,0.58583,0.070182,0.3416,1.7169948641878379
675.14,0.57025,140.7,8.6732,0.15917,0.11963,0.12571,0.057206,0.13923,0.11892,0.60876,0.070071,0.31837,1.717060471608046
672.62,0.57649,140.39,8.7029,0.15913,0.11966,0.12567,0.057163,0.13929,0.11869,0.60104,0.070098,0.32668,1.7174215700380087
662.52,0.57607,139.75,8.7478,0.15918,0.11962,0.12552,0.057074,0.13948,0.11893,0.59624,0.070182,0.33147,1.717690384306163
662.45,0.57601,139.71,8.7487,0.15918,0.11962,0.12551,0.057072,0.13948,0.11892,0.59636,0.070185,0.3316,1.7179341934173258
