Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1502.0,0.17215,124.89,5.2616,0.11019,0.048226,0.099486,0.34028,0.1361,0.031187,0.25427,0.11431,0.13468,1.2687374309884836
1502.3,0.17219,124.9,5.2566,0.11021,0.048305,0.099522,0.34032,0.13612,0.031202,0.25425,0.1143,0.13472,1.2689456280676872
1502.2,0.17213,124.91,5.256,0.11021,0.048313,0.099528,0.34034,0.13613,0.031206,0.25424,0.1143,0.13472,1.2689991596584334
1504.3,0.17214,124.7,5.2928,0.11008,0.047771,0.099253,0.34223,0.13594,0.031079,0.25443,0.11434,0.13447,1.2695897965330587
1508.2,0.17091,125.42,5.2808,0.11016,0.047928,0.099403,0.34169,0.13606,0.03119,0.25434,0.1143,0.13454,1.2696142080710533
1502.2,0.17271,124.77,5.2482,0.11021,0.048447,0.099568,0.34152,0.13614,0.031211,0.25421,0.1143,0.13478,1.2703879119803954
1501.6,0.17219,124.85,5.2432,0.11024,0.048505,0.099618,0.34161,0.13619,0.031239,0.25418,0.11429,0.13481,1.2706851348431454
1501.9,0.1722,124.92,5.2962,0.11008,0.047707,0.099246,0.3435,0.13595,0.031088,0.25443,0.11434,0.13444,1.2707886505327661
1509.2,0.17088,125.45,5.2432,0.11026,0.048504,0.09967,0.34227,0.13622,0.031302,0.25416,0.11427,0.1348,1.2714591195883025
1489.3,0.17357,124.65,5.2929,0.1101,0.04773,0.099244,0.34428,0.13597,0.031062,0.25443,0.11435,0.13447,1.2716325697633426
