Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
251.93,74.483,707.46,823.93,339.66,427.84,408.81,3.0684,0.1199,0.55609,0.044972,0.13942,0.21697,0.10203,0.10837,0.067856,0.086006,1.441620826123903
251.79,74.429,707.26,824.12,339.15,427.85,408.99,3.0684,0.11988,0.55787,0.044968,0.13943,0.21699,0.10204,0.10843,0.06791,0.08611,1.4436336792000566
251.85,74.775,707.8,823.81,339.71,427.94,408.89,3.0752,0.11988,0.55974,0.044932,0.13933,0.21699,0.10229,0.10844,0.067769,0.086017,1.445402637559274
285.55,74.15,694.62,830.69,328.07,427.68,413.84,3.0585,0.12081,0.58477,0.045064,0.13943,0.21654,0.097785,0.10667,0.069211,0.083758,1.464032929456231
255.65,74.594,708.7,831.45,337.19,427.73,409.69,3.07,0.11972,0.58174,0.044961,0.13957,0.21695,0.10147,0.10865,0.068479,0.086512,1.4680592055951147
247.93,73.281,694.96,816.15,338.86,428.59,410.14,3.0624,0.12014,0.58432,0.045014,0.13929,0.21697,0.10146,0.10796,0.067322,0.08558,1.468067341204437
251.19,74.336,693.26,825.3,339.7,427.86,408.07,3.0674,0.12001,0.609,0.045025,0.13944,0.21692,0.10177,0.10798,0.067682,0.085431,1.4932542835558267
248.02,73.237,700.5,813.15,335.32,432.97,411.27,3.0608,0.12025,0.62673,0.044919,0.13916,0.21704,0.1016,0.10797,0.06713,0.085343,1.5101448496159486
251.6,75.17,697.34,817.23,343.38,428.34,407.79,3.0804,0.1201,0.64035,0.044939,0.13911,0.21691,0.10172,0.10789,0.066975,0.085072,1.5230626564530447
245.77,73.115,699.12,837.64,337.45,430.09,408.92,3.0552,0.12003,0.64177,0.044985,0.1394,0.21691,0.10167,0.1079,0.067663,0.08493,1.52524940787953
