Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1869.3,0.14855,125.64,2.6304,0.31727,0.10202,0.068296,0.15261,0.14361,0.23539,0.10849,0.16433,0.11363,1.4056409539233907
1868.8,0.14826,125.33,2.6313,0.31918,0.10199,0.068246,0.1526,0.14358,0.2354,0.10847,0.16431,0.11363,1.4074076440666339
1849.8,0.15034,124.5,2.6803,0.32354,0.10089,0.066492,0.15211,0.14215,0.23581,0.11057,0.16338,0.1135,1.4084388478572907
1870.2,0.15089,123.53,2.6722,0.32359,0.10111,0.066783,0.15219,0.14237,0.23576,0.11027,0.16355,0.11351,1.4091410589769933
1870.2,0.15008,121.83,2.7512,0.33812,0.099261,0.063934,0.1514,0.13998,0.23649,0.11103,0.1621,0.11332,1.4156258958844665
1876.7,0.14677,125.64,2.624,0.3298,0.10216,0.068502,0.15268,0.14378,0.23533,0.10866,0.16443,0.11365,1.4190025093611247
1868.2,0.14732,127.25,2.6045,0.33143,0.10262,0.069254,0.15287,0.14436,0.23517,0.1092,0.1648,0.11371,1.423410201734952
1844.5,0.14875,126.67,2.655,0.33736,0.1014,0.067421,0.15236,0.14291,0.23558,0.10953,0.16382,0.11357,1.4239630960483214
1823.6,0.15396,125.09,2.6101,0.33335,0.10257,0.069041,0.15281,0.14419,0.23524,0.10926,0.16476,0.11372,1.4249421087155103
1869.3,0.15139,125.36,2.5522,0.32587,0.10394,0.071237,0.15335,0.14587,0.23479,0.11083,0.16585,0.11392,1.425643737316072
