Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
694.58,0.40707,119.88,9.7559,0.12753,0.0661,0.088643,0.21268,0.055201,0.065322,0.6154739128871505
695.62,0.40775,119.3,9.854,0.12754,0.06623,0.088524,0.21526,0.05521,0.065248,0.618016560786382
691.17,0.41425,118.37,9.7505,0.12762,0.066159,0.088596,0.22191,0.055186,0.065295,0.6247666166265817
693.23,0.41495,118.1,9.7005,0.12764,0.066139,0.08862,0.22243,0.05517,0.065326,0.625320204721629
689.39,0.42144,117.42,9.7152,0.12769,0.066174,0.088584,0.22293,0.055172,0.065287,0.6258369448505315
684.54,0.42086,117.92,9.8139,0.12766,0.066213,0.088532,0.22342,0.055206,0.065224,0.6262561979005603
692.33,0.41878,119.0,9.7328,0.12761,0.066146,0.088592,0.22608,0.055191,0.065282,0.6289047963457614
693.29,0.41519,118.54,10.211,0.12742,0.066577,0.088183,0.22731,0.055273,0.064994,0.6297615323567953
700.51,0.40831,113.56,11.349,0.1256,0.066797,0.088124,0.2296,0.055396,0.064582,0.6301026580305608
696.21,0.41853,113.03,11.39,0.12554,0.066752,0.088155,0.22998,0.055421,0.064493,0.6303412782978335
