Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
17.338,5.2124,74.899,18.762,0.099381,0.060556,1.8234,0.10313,0.079719,0.048869,2.215010332050283
17.362,5.2484,74.236,18.768,0.099451,0.060571,1.8243,0.10338,0.079703,0.048882,2.2162843215420445
16.735,5.1543,75.587,19.242,0.099473,0.060565,1.8246,0.10335,0.079609,0.04887,2.2164357731428828
16.61,5.0814,76.945,19.571,0.099289,0.060581,1.8251,0.10309,0.079629,0.048881,2.2165535957947613
16.804,5.1093,74.573,19.128,0.099285,0.060609,1.8252,0.1031,0.079715,0.048891,2.2168028129545974
16.695,5.0863,75.459,18.647,0.099475,0.060494,1.8258,0.10264,0.079664,0.048814,2.216838277881138
16.725,5.1752,75.567,19.118,0.099582,0.060537,1.8249,0.10338,0.079576,0.048852,2.2168622650806737
16.515,5.055,75.551,19.618,0.099198,0.060639,1.8254,0.10316,0.07968,0.04891,2.2169708130634307
16.493,5.0844,75.554,19.519,0.099334,0.06061,1.8253,0.10327,0.079633,0.048893,2.2170823697753748
16.637,5.0646,76.216,18.676,0.099472,0.060472,1.8262,0.10251,0.079649,0.048803,2.217094533558396
