Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1988.0,0.12387,126.46,6.6973,0.067962,0.054693,0.0937,0.061634,0.2489,0.12971,0.6566005485265959
1992.9,0.123,126.29,7.3364,0.067272,0.054869,0.092083,0.063011,0.25025,0.1293,0.656785968787501
1994.8,0.1239,126.57,7.3092,0.067279,0.054874,0.092157,0.062953,0.25136,0.12937,0.6579924397633109
1992.1,0.1242,127.31,6.687,0.06797,0.054715,0.093825,0.061528,0.25068,0.12971,0.6584363129771105
1960.7,0.1232,126.24,6.6948,0.068042,0.054553,0.093364,0.061829,0.25143,0.12951,0.658730067297018
1994.6,0.12387,126.46,6.6973,0.067944,0.054728,0.09379,0.061582,0.25106,0.12975,0.6588542748062541
1994.8,0.12337,126.59,7.4963,0.067104,0.054917,0.091763,0.063287,0.25323,0.12925,0.6595489929786107
1988.5,0.12352,126.46,6.698,0.067968,0.054695,0.093718,0.061619,0.25209,0.12969,0.6597857235162871
1987.5,0.12316,126.43,6.7175,0.067959,0.054692,0.093653,0.061664,0.25617,0.12965,0.6637911470014684
1994.9,0.1239,127.57,7.3092,0.0673,0.054873,0.092203,0.062879,0.25829,0.1293,0.6648422770017888
