Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1629.0,0.14712,120.47,17.158,0.069695,0.085627,0.12831,0.28624,0.062351,0.055904,0.6881231838622406
1718.0,0.14094,119.6,17.266,0.07023,0.085192,0.12924,0.28567,0.06246,0.055923,0.6887121776537166
1676.1,0.14345,120.05,17.267,0.069837,0.085513,0.12855,0.28833,0.062413,0.055892,0.6905295510623538
1722.4,0.13994,119.49,17.137,0.070594,0.084918,0.12987,0.28706,0.062528,0.055959,0.6909244428687623
1716.1,0.1398,120.32,17.058,0.070648,0.084887,0.12998,0.28694,0.062544,0.055975,0.6909772756431848
1680.3,0.14124,120.35,17.049,0.070409,0.08506,0.12959,0.28761,0.062513,0.055957,0.6911317711784322
1722.1,0.13871,120.53,17.018,0.070737,0.084833,0.13012,0.28704,0.062587,0.055979,0.6912934362928241
1722.9,0.13868,120.72,16.996,0.07077,0.084812,0.13017,0.2877,0.062597,0.055984,0.6920380500997475
1722.3,0.13872,120.72,16.98,0.070791,0.0848,0.1302,0.28774,0.062606,0.055985,0.6921288242421735
1721.2,0.13901,120.72,17.021,0.070716,0.084845,0.13009,0.28797,0.062573,0.055981,0.6921752331523167
