Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
391.99,0.95159,122.01,11.07,7.4159e-05,0.12615,0.065871,0.088186,0.055094,0.065004,0.41829,0.8185949428487087
416.63,0.87637,122.56,11.069,7.4025e-05,0.12635,0.065821,0.088401,0.055067,0.064979,0.41938,0.8199984627764614
416.59,0.87618,122.37,11.088,7.4005e-05,0.12636,0.065825,0.088396,0.055074,0.064968,0.41939,0.8200143914677329
416.63,0.87672,122.56,11.076,7.4025e-05,0.12635,0.065821,0.088399,0.05507,0.064975,0.41941,0.820025314246775
418.9,0.87111,122.35,11.053,7.3733e-05,0.12634,0.06582,0.088422,0.055053,0.064996,0.41988,0.8205132845229596
414.47,0.88246,122.4,11.15,7.6576e-05,0.12653,0.065828,0.088354,0.055147,0.06484,0.41998,0.8206737558918962
416.59,0.87811,121.61,11.115,7.3917e-05,0.12639,0.065854,0.088365,0.055079,0.064956,0.42041,0.8210517787920417
416.71,0.87094,122.8,11.094,7.3998e-05,0.12637,0.065789,0.08844,0.055082,0.064959,0.42054,0.821178285190146
416.63,0.87215,122.53,11.05,7.4023e-05,0.12635,0.06581,0.088423,0.05506,0.064993,0.42069,0.8213261113752974
416.72,0.8705,122.8,11.096,7.4029e-05,0.12637,0.065788,0.088442,0.055083,0.064956,0.4207,0.8213361589355532
