Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
433.23,0.5816,101.5,13.052,4.9721e-06,0.06422,0.087292,0.055127,0.12748,0.067646,0.27507,0.6768354863991861
435.45,0.58198,101.5,13.306,4.9709e-06,0.064116,0.087161,0.055144,0.12757,0.067805,0.27833,0.6801284965340042
434.19,0.58381,101.51,12.957,4.9526e-06,0.064239,0.087308,0.055129,0.12749,0.067619,0.27899,0.6807796726836606
428.32,0.58025,102.58,12.868,4.9574e-06,0.064311,0.087536,0.055105,0.12727,0.067361,0.27924,0.6808246778165208
427.14,0.57887,102.58,12.877,4.9591e-06,0.064318,0.087556,0.055099,0.12724,0.067342,0.2797,0.6812562527967221
411.12,0.6287,100.64,12.865,5.1424e-06,0.064237,0.08749,0.055078,0.12734,0.067379,0.27985,0.6813686703385943
427.22,0.582,102.62,12.876,4.9286e-06,0.064305,0.08755,0.055104,0.12725,0.067343,0.28013,0.6816890175690001
417.29,0.6027,100.7,12.321,4.9724e-06,0.06448,0.087705,0.055042,0.12718,0.067124,0.28029,0.6818243097079675
405.59,0.63893,101.13,13.229,5.3093e-06,0.064113,0.087439,0.055077,0.12732,0.067431,0.2806,0.6819764940385649
428.49,0.57685,102.63,12.867,4.9527e-06,0.064321,0.087553,0.055102,0.12725,0.067346,0.28042,0.6819907179951468
