Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g243),Error (g223),Error (g238),Error (g185),Error (g138),Error (g164),Error (g50),Error (curve),Reduced Error
787.62,0.087452,30.634,1.149,0.10277,0.076047,0.8249,0.2099,0.08635,0.15,0.12388,0.16934,0.91544,2.658623191562987
772.33,0.16923,21.865,1.2188,0.10348,0.075132,0.87414,0.2087,0.083476,0.14878,0.12441,0.16246,1.0804,2.8609988433404574
3934.0,0.0034452,39.148,1.7713,0.09565,0.070891,0.87888,0.19815,0.096156,0.14891,0.13258,0.1849,1.0976,2.903723494707692
3765.8,0.0019236,38.022,1.3587,0.095882,0.072971,0.95421,0.20474,0.1016,0.14608,0.13191,0.19288,1.0439,2.9441300534377595
3826.7,0.0021288,34.337,1.3883,0.096128,0.07283,1.2049,0.20451,0.10275,0.1457,0.13282,0.19147,0.82228,2.9734152220514734
3822.6,0.0018655,37.181,1.3514,0.095905,0.072987,1.0262,0.20492,0.10207,0.14584,0.13211,0.1929,1.0252,2.9981545502465616
3931.5,0.0020544,36.323,1.3771,0.096103,0.072834,1.2525,0.20432,0.10188,0.14615,0.13234,0.19166,0.81244,3.0102601827420274
3661.6,0.0022748,46.143,1.173,0.097263,0.074334,0.77312,0.20633,0.10057,0.14777,0.12988,0.19453,1.2981,3.021932820843123
3949.4,0.0019188,37.317,1.3912,0.095841,0.072708,1.1835,0.20412,0.10142,0.1461,0.13217,0.19189,0.93812,3.0659219329109693
704.69,0.13144,36.504,1.3272,0.10333,0.075518,1.323,0.2072,0.078299,0.15348,0.12088,0.16576,0.86347,3.090891371766773
