Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1629.8,0.15962,125.58,4.6711,0.055561,0.20761,0.069541,0.13478,0.10506,0.055786,0.6283448816373257
1629.9,0.1596,125.61,4.6917,0.055521,0.208,0.069519,0.1347,0.10485,0.05585,0.628437999716652
1629.9,0.15955,125.6,4.6671,0.055569,0.20768,0.069546,0.1348,0.10511,0.055773,0.6284766492256093
1643.8,0.15858,125.41,4.6789,0.055549,0.20795,0.069527,0.13479,0.10499,0.05581,0.6286162456246962
1626.4,0.15963,125.45,4.6903,0.055519,0.2087,0.069525,0.13469,0.10486,0.055846,0.6291446406991803
1630.4,0.1603,125.65,4.6352,0.055633,0.20801,0.069571,0.13495,0.10543,0.055681,0.6292694765024582
1615.9,0.16069,126.29,4.6696,0.055567,0.20855,0.069548,0.13475,0.1051,0.055778,0.6292856533244543
1649.2,0.15705,125.95,4.7137,0.055491,0.20913,0.069503,0.13464,0.10469,0.055906,0.6293628353473222
1637.0,0.15827,126.18,4.6617,0.055591,0.20851,0.06956,0.13483,0.10522,0.055747,0.6294575997892335
1618.4,0.15982,126.39,4.6688,0.055571,0.20873,0.069557,0.13475,0.10513,0.055771,0.6295020152405
