Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
910.45,0.45515,151.5,3.4375,0.14797,0.27623,0.25095,0.094775,0.1761,0.18005,0.069309,0.14897,0.099455,1.4438048627967692
910.49,0.45242,151.86,3.4402,0.14793,0.27893,0.25104,0.094781,0.17614,0.18005,0.069306,0.1489,0.099445,1.44651951089316
908.63,0.46537,152.82,3.3939,0.14838,0.28561,0.25058,0.094663,0.17612,0.18003,0.069434,0.14977,0.09965,1.454238423752262
930.15,0.45956,152.73,3.3925,0.1484,0.28967,0.25044,0.094709,0.17598,0.18006,0.069414,0.1498,0.09963,1.4581004215600055
909.29,0.45292,152.83,3.4209,0.14809,0.29315,0.25096,0.094757,0.17624,0.18005,0.069362,0.14924,0.099531,1.461379004757218
907.22,0.45535,149.6,3.4891,0.14754,0.29907,0.25124,0.094776,0.17593,0.18003,0.069179,0.14804,0.099247,1.4650406533625115
936.45,0.41466,153.51,3.5376,0.14693,0.2997,0.25226,0.094992,0.17631,0.18009,0.069084,0.14698,0.099047,1.4653945641736197
911.21,0.46766,152.77,3.3837,0.14849,0.29703,0.25045,0.094642,0.17609,0.18003,0.069458,0.14996,0.09969,1.4658406813970521
907.42,0.46834,153.03,3.387,0.14845,0.29726,0.25052,0.094643,0.17612,0.18002,0.069455,0.1499,0.099683,1.466053503758856
887.79,0.44667,150.53,3.5134,0.14723,0.30141,0.25186,0.094783,0.17627,0.17998,0.069176,0.1475,0.099178,1.4673788942755894
