Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
900.17,0.32849,124.97,3.8274,0.32617,0.07278,0.13917,0.058712,0.055001,0.12068,0.7725156999605565
900.85,0.33123,123.58,3.8506,0.32848,0.072665,0.13901,0.058539,0.054925,0.12028,0.7738957948183748
898.64,0.3398,123.19,3.904,0.33594,0.072404,0.13871,0.058282,0.05481,0.11945,0.7795921685448401
899.81,0.34226,122.41,3.989,0.34395,0.072047,0.13814,0.057838,0.054695,0.1183,0.7849621980006496
898.98,0.32849,125.8,3.7146,0.34126,0.07322,0.13997,0.059377,0.055231,0.12223,0.7912930886553622
903.9,0.34625,119.38,3.8443,0.34842,0.072614,0.13905,0.058415,0.054805,0.12004,0.7933376657293094
870.88,0.30585,132.3,3.8284,0.34713,0.072795,0.13931,0.059,0.055162,0.12083,0.7942343548401494
900.8,0.32945,123.71,3.7501,0.34672,0.073077,0.13969,0.059074,0.055101,0.12165,0.7953146226372669
900.23,0.3286,123.08,3.8539,0.35176,0.072655,0.13897,0.058493,0.054914,0.12021,0.7970016363454588
901.65,0.34441,121.31,3.7077,0.34959,0.073161,0.14002,0.059257,0.055095,0.12201,0.7991296110429479
