Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1952.0,0.071777,150.42,11.018,0.47193,0.093491,0.062236,0.06324,0.1277,0.05688,0.8754782829079228
1952.7,0.073113,151.58,10.902,0.47923,0.093533,0.062179,0.063322,0.12773,0.056867,0.8828670721914217
1581.8,0.13099,124.89,8.8435,0.48459,0.090138,0.064017,0.066233,0.12678,0.055004,0.8867540228195476
1570.7,0.1323,123.91,8.8432,0.48621,0.089927,0.064154,0.066293,0.12665,0.054933,0.8881675361796872
1564.5,0.13227,123.89,8.8424,0.4899,0.089914,0.064157,0.066316,0.12661,0.05492,0.8918151568331828
1564.4,0.13185,124.08,8.8684,0.49005,0.089871,0.064177,0.066292,0.12655,0.054918,0.8918582069693648
1564.3,0.1318,125.45,8.8571,0.4926,0.090096,0.064006,0.066254,0.12665,0.054992,0.8945998592169542
1563.5,0.13394,123.88,8.8367,0.49285,0.08986,0.064183,0.066307,0.1266,0.054923,0.894722068108408
1570.1,0.13229,125.81,8.8336,0.49284,0.090214,0.063932,0.066235,0.12676,0.055034,0.8950225723783188
1570.5,0.13183,125.47,8.8579,0.49367,0.090108,0.064004,0.066231,0.12669,0.055005,0.8957047357112236
