Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
646.11,0.40324,115.79,18.327,0.055502,0.23703,0.12871,0.070213,0.08455,0.062309,0.6383126409941096
647.1,0.3901,119.28,18.169,0.055543,0.25077,0.12841,0.069786,0.084885,0.062306,0.651704771846233
647.08,0.39028,119.01,18.169,0.055537,0.25084,0.1284,0.069814,0.084864,0.062303,0.6517665920834929
646.89,0.39043,119.85,18.172,0.055555,0.25111,0.12843,0.069731,0.084921,0.062311,0.6520579197258913
646.71,0.39874,120.02,18.792,0.055679,0.25266,0.12949,0.069861,0.084846,0.062291,0.6548233360339201
644.71,0.40159,119.45,18.874,0.055681,0.2533,0.12962,0.069914,0.084815,0.062293,0.6556145354050598
648.42,0.41528,113.35,18.375,0.055473,0.25607,0.12883,0.070503,0.084275,0.062313,0.6574633461955605
644.69,0.4018,119.49,18.425,0.055586,0.25683,0.12889,0.069879,0.084787,0.06231,0.6582815088505087
644.75,0.40175,119.57,18.442,0.055592,0.25755,0.12892,0.069875,0.084791,0.06231,0.6590409104106384
645.38,0.39746,120.85,18.798,0.055694,0.25712,0.1295,0.06977,0.084913,0.062289,0.6592785618568456
