Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
711.54,0.40353,123.87,3.963,0.13675,0.053581,0.10862,0.14761,0.055933,0.071049,0.5735436622975972
709.64,0.40427,124.1,3.9711,0.13671,0.053606,0.10858,0.1491,0.055929,0.07104,0.5749669087526933
706.86,0.40605,123.88,3.9646,0.13677,0.053594,0.10864,0.15066,0.055945,0.07105,0.5766468391980264
711.98,0.40086,124.06,3.9639,0.13672,0.053574,0.10867,0.15113,0.055944,0.07106,0.5770998020468419
706.81,0.40785,124.1,4.0496,0.13634,0.053921,0.10761,0.15266,0.055704,0.070897,0.5771261868776842
709.29,0.40506,123.4,3.915,0.13702,0.05342,0.10918,0.15099,0.056074,0.071133,0.5778135978082487
707.38,0.40866,123.89,3.9623,0.1368,0.053587,0.10863,0.15233,0.055946,0.071041,0.5783365137421781
719.08,0.40047,122.04,3.9886,0.13655,0.053749,0.10794,0.15359,0.055727,0.070974,0.5785329336088734
720.77,0.39987,122.0,3.958,0.13671,0.053623,0.10832,0.15341,0.055813,0.071027,0.5789054146708469
709.64,0.4052,123.11,3.9112,0.13704,0.053416,0.10917,0.15217,0.056067,0.071135,0.5789953208248018
