Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g243),Error (g223),Error (g238),Error (g185),Error (g138),Error (g164),Error (g50),Error (curve),Reduced Error
3834.7,0.029199,283.77,1.3203,0.11768,0.094123,0.24793,0.18136,0.086428,0.20064,0.093526,0.12003,1.2672,2.4088861446611234
3850.8,0.030265,290.55,1.1683,0.11925,0.095209,0.21401,0.18238,0.090046,0.20201,0.093362,0.11916,1.418,2.5334034151132903
3528.9,0.032065,295.82,1.2325,0.11858,0.094387,0.24656,0.18199,0.08723,0.20038,0.093745,0.11992,1.3937,2.5364768273810583
3729.1,0.027069,290.3,1.2503,0.11809,0.094723,0.22524,0.18198,0.087897,0.20149,0.093253,0.12064,1.4438,2.567086490420105
3747.1,0.026694,304.62,1.0785,0.11972,0.096025,0.21057,0.18319,0.092273,0.20337,0.0931,0.12012,1.5479,2.6662642739022786
3721.1,0.029851,285.38,1.4952,0.11609,0.092645,0.54558,0.18019,0.082157,0.19861,0.094209,0.12139,1.2727,2.7035287095326916
115.15,8.6835,35.918,19.68,0.11631,0.057909,0.56379,0.15211,0.051531,0.15502,0.13005,0.092491,1.3976,2.7168322081474816
114.05,9.1491,36.719,19.52,0.11605,0.05823,0.44123,0.1522,0.051233,0.15598,0.1295,0.092698,1.5417,2.7387848554403673
3101.0,0.030723,286.88,1.3255,0.11752,0.093317,0.65388,0.18185,0.083256,0.19892,0.094214,0.12204,1.2415,2.78650995485214
3960.6,0.032091,299.82,1.0218,0.12085,0.096342,0.2102,0.18353,0.094243,0.20326,0.093765,0.11884,1.6859,2.8069597606688994
